"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,164,164,,COVID-19 Antigen Detection Kit, antigen detection ,,DNA Diagnostic,dna diagnostic,Denmark,#N/A,Denmark,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,https://dna-diagnostic.com/files/Downloads/CV19IC/SDS_CV19IC_2020.11.05.pdf,https://dna-diagnostic.com/files/Downloads/CV19IC/SDS_CV19IC_2020.11.05.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1304,1304,F2005S-2M,SARS-CoV-2/SARS-CoV Multiplex Rteal-Time PCR detection kit, multiplex rteal time detection ,,"DNA technology Research & Production, LLC, Russia (365 Medical India)",dna technology research  production  russia 365 medical india,,,,,,,,,,,,,,,,,,,,,IND0457,,,,,IND0457,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1305,1305,XC19-01,XpertCovido 19-Fast RT-PCR kit,xperto 19 fast ,,"DNA XpertPvt. Ltd, Noida, India",dna xpertpvt  noida india,,,,,,,,,,,,,,,,,,,,,IND0458,,,,,IND0458,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1306,1306,MP-20-01,Xperts Covido19 Multiplex RT-PCR kit,xperts o19 multiplex ,,"DNA XpertPvt. Ltd, Noida, India",dna xpertpvt  noida india,,,,,,,,,,,,,,,,,,,,,IND0459,,,,,IND0459,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,261,261,,Epithod COVID-19 Ag Test Kit,epithod  ag  ,,DxGen Corp.,dxgen corp,Republic of Korea,#N/A,Republic of Korea,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,262,262,,Epithod SARS-CoV-2 qAg Test Kit,epithod qag  ,,DxGen Corp.,dxgen corp,Republic of Korea,#N/A,Republic of Korea,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1100,1100,,2019-nCoV IgG/IgM Rapid Test,2019 iggigm rapid ,,"Dynamiker Biotechnology (Tianjin) Co., Ltd– No. 14 Building, Eco-Business Park, 2018 Zhongtian Avenue, Sino-Singapore Tianjin Eco City, 300467 Tianjin, China",dynamiker biotechnology tianjin  no 14 building ecobusiness park 2018 zhongtian avenue sinosingapore tianjin eco city 300467 tianjin china,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0147,,,,,PHL0147,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,249,249,,Dynamiker SARS-CoV-2 Ag Rapid Test,dynamiker ag rapid ,,"Dynamiker Biotechnology (Tianjin) Co., Ltd.",dynamiker biotechnology tianjin ,China,#N/A,China,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,http://en.dynamiker.com/index/index/pro_info/aid/624.html,http://en.dynamiker.com/index/index/pro_info/aid/624.html,#N/A,#N/A,#N/A,,,,IDN0016,,,,,IDN0016,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,195,195,,COVID-19 DART, dart,,E25Bio,e25bio,USA,#N/A,USA,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,225,225,,COVID/FLU A/B Ag Combo ECO Teste,flu ab ag combo eco e,,Eco Diagnostica,eco diagnostica,Brazil,#N/A,Brazil,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://ecodiagnostica.com.br/diagnostico-rapido/covid-flu-a-b-ag-combo-eco-teste/,https://ecodiagnostica.com.br/diagnostico-rapido/covid-flu-a-b-ag-combo-eco-teste/,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1247,1247,ELRDCO 0011 ELRDCO 0012 ELRDCO 0013,Edge Xpress COVID-19 Ag Test kit,edge xpress  ag  ,,"Edge Pharma Pvt. Ltd., Mumbai (Maharashtra), India",edge pharma pvt  mumbai maharashtra india,,,,,,,#N/A,,,,,,,,,,,,,,IND0335,,,,,IND0335,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1179,1179,"ELRDCO0004
ELRDCO0005
ELRDCO0006",EdgeXpress Covid-19 Ab detection Test Kit (IgG/IgM),edgexpress  ab detection iggigm,,"Edge Pharma Pvt. Ltd., Mumbai (Maharashtra), India",edge pharma pvt  mumbai maharashtra india,,,,,,,,,,,,,,,,,,,,,IND0239,,,,,IND0239,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,255,255,,Edinburgh Genetics ActivXpress+ COVID-19 Antigen Complete Testing Kit,edinburgh genetics activxpress  antigen complete ing ,,Edinburgh Genetics Limited,edinburgh genetics limited,United Kingdom,#N/A,United Kingdom,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,https://t1n.c87.myftpupload.com/wp-content/uploads/2020/09/Edinburgh-Genetics-ActivXpress-COVID-19-Antigen-Complete-Testing-Kit-v1.4.pdf,https://t1n.c87.myftpupload.com/wp-content/uploads/2020/09/Edinburgh-Genetics-ActivXpress-COVID-19-Antigen-Complete-Testing-Kit-v1.4.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1172,1172,"2000705A
2000652A
2000555A",Edinburgh Genetics COVID-19 Colloidal Gold Immunoassay Testing kit IgG / IgM combined,edinburgh genetics  colloidal gold immunoassay ing  igg  igm combined,,"Edinburgh Genetics, UK BioPanda Reagents, UK",edinburgh genetics uk biopanda reagents uk,,,,,,,,,,,,,,,,,,,,,IND0232,,,,,IND0232,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,385,385,LMP401,Loopamp New Coronavirus 2019 (SARS-CoV-2) Detection Reagent Kit,loopamp new coronavirus 2019 detection reagent ,48T/kit,"Eiken Chemical Co., Ltd.",eiken chemical ,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1019,1019,,SARS-CoV-2 ELITe MGB® Kit,  elite mgb ,,"ELITechGroup S.p.A–Corso Svizzera 185, Torino,10149 Italy",elitechgroup spacorso svizzera 185 torino10149 italy,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0023,,,,,PHL0023,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,981,981,,SARS-CoV-2 ELITE MGB Kit ,  elite mgb  ,,ELITechGroup S.p.A.,elitechgroup spa,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0142,,,,,ZAF0142,,
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,258,258,,Ellume COVID-19 Home Test,ellume  home ,1T/Kit,Ellume Ltd,ellume ,USA,USA,USA,Test approved by one or more SRA,US FDA EUA,,#N/A,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144593/download,https://www.fda.gov/media/144593/download,https://www.fda.gov/media/144593/download,#N/A,$35.00,#N/A,$35.00,,IND0157,,,,,IND0157,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,259,259,,ENCODE COVID-19 Rapid Test,encode  rapid ,,Emmo Pharma,emmo pharma,United Kingdom,#N/A,United Kingdom,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,142,142,"ATG 900-207
 ATG 900-208
 ATG 900-210",CovClear COVID-19 Antigen Test,covclear  antigen ,,Empowered Diagnostics LLC (United States Of America),empowered diagnostics  united states of america,USA,#N/A,USA,Test in development or commercialized,Health Canada/Interim Order TGA,,#N/A,FALSE,TRUE,FALSE,FALSE,TRUE,#N/A,https://3imoap12d0wm1tgyyn3fhxrl-wpengine.netdna-ssl.com/wp-content/uploads/CovClear-Over-the-Counter-Product-Insert-Rev-2.pdf,https://3imoap12d0wm1tgyyn3fhxrl-wpengine.netdna-ssl.com/wp-content/uploads/CovClear-Over-the-Counter-Product-Insert-Rev-2.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,41,41,ENZ-GEN215-0096,"AMPIPROBE® SARS-CoV-2
Assay kit",ampiprobe  assay ,,"Enzo Life Sciences, Inc.",enzo life sciences ,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1307,1307,EBT002,Global COVID 19 Kit,global  ,,"Equine Biotech, Karnataka (EBT PVT LTD)",equine biotech karnataka ebt pvt ,,,,,,,,,,,,,,,,,,,,,IND0460,,,,,IND0460,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,264,264,,ErbaQik COVID-19 Ag Rapid Test,erbaqik  ag rapid ,,Erba Mannheim Group / Transasia Bio-Medical,erba mannheim group  transasia biomedical,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,IND0109,,,,,IND0109,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,267,267,MP 2606-0125,EURORealTime SARS-CoV-2,eurorealtime  ,25T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,268,268,MP 2606-0225,EURORealTime SARS-CoV-3,eurorealtime 3,50T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,269,269,MP 2606-0425,EURORealTime SARS-CoV-4,eurorealtime 4,100T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,270,270,MP 2606-0100,EURORealTime SARS-CoV-5,eurorealtime 5,100T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,271,271,MP 2606-0200,EURORealTime SARS-CoV-6,eurorealtime 6,200T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,272,272,MP 2606-1000,EURORealTime SARS-CoV-7,eurorealtime 7,1000T/kit,"EUROIMMUN
 Medizinische Labordiagnostika AG (Germany)",euroimmun medizinische labordiagnostika ag germany,#N/A,#N/A,,,"Health Canada/Interim Order US FDA EUA
 TGA",,,TRUE,TRUE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,609,609,,SARS-CoV-2 Antigen ELISA,  antigen elisa,,EUROIMMUN AG,euroimmun ag,Germany,#N/A,Germany,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://www.coronavirus-diagnostik.de/documents/Indications/Infections/Coronavirus/EQ_2606_D_DE_A.pdf,https://www.coronavirus-diagnostik.de/documents/Indications/Infections/Coronavirus/EQ_2606_D_DE_A.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1189,1189,E200420AW,Euroimmun Anti- SARS-COV-2 IgG ELISA,euroimmun anti  igg elisa,,"Euroimmun US Inc., USA",euroimmun us  usa,,,,,,,,,,,,,,,,,,,,,IND0249,,,,,IND0249,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1308,1308,I200428CF,EURO Real Time SARS CoV-2,euro real time  ,,"EUROIMMUN, UK (CPC Diagnostics Pvt Ltd)",euroimmun uk cpc diagnostics pvt ,,,,,,,,,,,,,,,,,,,,,IND0461,,,,,IND0461,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,273,273,,Excalibur RAPID SARS-COV-2 ANTIGEN TEST CARD,excalibur rapid antigen  card,,Excalibur Health Services,excalibur health services,United Kingdom,#N/A,United Kingdom,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,957,957,,Fast Track Diagnostics RT PCR Test,fast track diagnostics ,,Fast Track Diagnostics Luxembourg S.à.r.l.,fast track diagnostics luxembourg srl,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0112,,,,,ZAF0112,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1016,1016,,FTD SARS-CoV-2,ftd  ,,"Fast Track Diagnostics Luxembourg S.à.r.l. – 29, rue Henri Koch, L-4354 Esch-sur-Alzette, Luxembourg",fast track diagnostics luxembourg srl  29 rue henri koch l4354 eschsuralzette luxembourg,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0018,,,,,PHL0018,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,289,289,"11416302 (FTD-114-
 96)",FTD SARS-CoV-2,ftd  ,96T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,#N/A,#N/A,,,US FDA EUA PMDA,,,TRUE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0158,,,,,IND0158,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,290,290,"11416300 (FTD-114-
 32)",FTD SARS-CoV-2,ftd  ,32T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,#N/A,#N/A,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,291,291,"11416284 (FTD-114-
 96)",FTD SARS-CoV-3,ftd 3,96T/kit,Fast Track Diagnostics Luxembourg S.á.r.l. (a Siemens Healthineers Company),fast track diagnostics luxembourg srl siemens healthineers company,#N/A,#N/A,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1020,1020,,Molaccu COVID-19 Detection Kit,molaccu  detection ,,"Floor 1 to Floor 5, Building 30, No.6 of Taikang Road, Block C of Jianqiao Industrial Park, Dadukou District, 400082 Chongqing, People's Republic of China",floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing peoples republic of china,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0025,,,,,PHL0025,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,25,25,102-0355,Advanta Dx SARS-CoV-2 RT- PCR Assay,advanta dx  assay,,Fluidigm Corporation,fluidigm corporation,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,171,171,,COVID-19 Antigen Rapid test, antigen rapid ,,ForaCare Suisse AG,foracare suisse ag,Switzerland,#N/A,Switzerland,Test in development or commercialized,,,CE-IVD,,,,,,#N/A,https://www.foracare.ch/wp-content/uploads/2020/12/FORAFCS_TD-4531A_-Covid-19-Antigen-Rapid-Test_User-Manual_EN_312-4531100-005.pdf,https://www.foracare.ch/wp-content/uploads/2020/12/FORAFCS_TD-4531A_-Covid-19-Antigen-Rapid-Test_User-Manual_EN_312-4531100-005.pdf,#N/A,#N/A,#N/A,,,,,ZAF0212,,,,,ZAF0212,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,139,139,,Coronavirus Antigen Rapid Test,coronavirus antigen rapid ,,Fortress Diagnostics Ltd,fortress diagnostics ,United Kingdom,#N/A,United Kingdom,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,23,23,,Acura Seed SARS-CoV-2 Antigen,acura seed antigen,,FujiFilm Corporation,fujifilm corporation,Japan,#N/A,Japan,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,293,293,,Fuji Dry Chem IMMUNO AG Handy COVID-19 Ag,fuji dry chem immuno ag handy  ag,,Fujifilm Corporation,fujifilm corporation,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,294,294,,FujiFilm COVID-19 Ag Test,fujifilm  ag ,,FujiFilm Corporation,fujifilm corporation,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,https://uploads.strikinglycdn.com/files/9551306c-8bf4-4076-9bcc-ebde4408812a/COVID-19%20Ag_IfU_EN-DE-FR-ES-PT-IT_Ref_final.pdf,https://uploads.strikinglycdn.com/files/9551306c-8bf4-4076-9bcc-ebde4408812a/COVID-19%20Ag_IfU_EN-DE-FR-ES-PT-IT_Ref_final.pdf,https://uploads.strikinglycdn.com/files/9551306c-8bf4-4076-9bcc-ebde4408812a/COVID-19%20Ag_IfU_EN-DE-FR-ES-PT-IT_Ref_final.pdf,#N/A,,#N/A,,,IND0159,,ZAF0226,PHL0090,,IND0159,,ZAF0226,PHL0090,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,20,20,,Accuraseed SARS-CoV-2Ag,accuraseed  ag,,FUJIFILM Wako Pure Chemical Corporation,fujifilm wako pure chemical corporation,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,761,761,,μTASWako SARS-CoV-2,taswako  ,,FUJIFILM Wako Pure Chemical Corporation,fujifilm wako pure chemical corporation,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,265,265,231906,ESPLINE SARS-CoV-2,espline  ,100T/kit,Fujirebio Inc,fujirebio ,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,CE-IVD,FALSE,FALSE,FALSE,TRUE,FALSE,,,,#N/A,,#N/A,,,IND0160,,,,,IND0160,,,,Yes
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,389,389,,Lumipulse Presto SARS-CoV-2 Ag,lumipulse presto ag,,Fujirebio Inc,fujirebio ,Japan,Japan,Japan,Test approved by one or more SRA,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,,,,#N/A,,#N/A,,,IND0162,,,,,IND0162,,,,Yes
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,390,390,,Lumipulse SARS-CoV-2 Ag,lumipulse ag,,Fujirebio Inc,fujirebio ,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,266,266,,ESPLINE SARS-CoV-2 & Flu A/B,espline  flu ab,,FUJIREBIO Inc.,fujirebio ,Japan,#N/A,Japan,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,388,388,,Lumipulse G SARS-CoV-2 Ag,lumipulse   ag,,FUJIREBIO Inc.,fujirebio ,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,,,,#N/A,,#N/A,,,IND0161,,,,,IND0161,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1210,1210,0392003/1,GA CoV2 IgG ELISA,ga cov2 igg elisa,,GA Generic Assays GmbH,ga generic assays gmbh,,,,,,,,,,,,,,,,,,,,,IND0270,,,,,IND0270,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1211,1211,20394002/1,GA CoV2 IgG+ ELISA,ga cov2 igg elisa,,GA Generic Assays GmbH,ga generic assays gmbh,,,,,,,,,,,,,,,,,,,,,IND0271,,,,,IND0271,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,227,227,,COVIDia - Antigen,ia antigen,,GaDia Diagnostics SA,gadia diagnostics sa,Switzerland,#N/A,Switzerland,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1309,1309,20115K1278 20115k1251,DiagSure nCOV-19 Detection assay (Taqman based),diagsure 19 detection assay taqman based,,GCC Biotech India Private Limited,gcc biotech india private limited,,,,,,,,,,,,,,,,,,,,,IND0462,,,,,IND0462,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1310,1310,20115K1310,DiagSurenCOV 19 Detection assay (Multiplex Taqman),diagsuren 19 detection assay multiplex taqman,,GCC Biotech India Private Limited,gcc biotech india private limited,,,,,,,,,,,,,,,,,,,,,IND0463,,,,,IND0463,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,168,168,,COVID-19 Antigen Lateral Flow Assay, antigen lateral flow assay,,"Genbio Pharmaceutical Co., Ltd.",genbio pharmaceutical ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,297,297,COVAG025-U COVAG025-NU,GenBody COVID-19 Ag,genbody  ag,25T/kit,GenBody Inc (Korea - Republic of),genbody  korea  republic of,Republic of Korea,Republic of Korea,Republic of Korea,Test that meet WHO TPP according to external evaluation,US FDA EUA TGA,,#N/A,TRUE,FALSE,FALSE,FALSE,TRUE,,,,#N/A,$6.00,#N/A,$6.00,,IND0163,,,,,IND0163,,,,Yes
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1221,"1221, 1125",FMFC20201 FMFC16201 FMFC02201,GenBody COVID-19 Ag rapid Test kit (POCT),genbody  ag rapid poct,,"GenBody Inc., South Korea",genbody  south korea,,,,,,,#N/A,,,,,,,,,,,,,,IND0283,,,,,"IND0283, IND0042",,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,298,298,,GenBody FIA COVID-19 Ag,genbody fia  ag,,"GenBody, Inc.",genbody ,Republic of Korea,#N/A,Republic of Korea,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,http://genbody.co.kr/bbs/download.php?bo_table=human02&wr_id=2&no=1,http://genbody.co.kr/bbs/download.php?bo_table=human02&wr_id=2&no=1,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,299,299,,GenBody Influenza/COVID-19 Ag Multi,genbody influenza ag multi,,"GenBody, Inc.",genbody ,Republic of Korea,#N/A,Republic of Korea,Test in development or commercialized,,,#N/A,,,,,,#N/A,http://genbody.co.kr/bbs/board.php?bo_table=human01&wr_id=23,http://genbody.co.kr/bbs/board.php?bo_table=human01&wr_id=23,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1013,1013,,GENEPRO SARS-COV-2 TEST,genepro ,,"Gencurix Inc.-#402, #908, #910, Digital-road 242, Goru-go, Seoul, 08394, Republic of Korea",gencurix 402 908 910 digitalroad 242 gorugo seoul 08394 republic of korea,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0009,,,,,PHL0009,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,307,307,CV002,GenePro SARS-CoV-2 Test,genepro ,,"Gencurix, Inc.",gencurix ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1311,1311,20200504A,GenePathCoViDx One RT-qPCR v2.1.1,genepathx one qpcr v211,,"Gene Path Diagnostics, Pune, India",gene path diagnostics pune india,,,,,,,,,,,,,,,,,,,,,IND0464,,,,,IND0464,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1312,1312,2025500,Gene Proof SARS-CoV-2 PCR kit,gene proof ,,"Gene Proof, Czech Republic",gene proof czech republic,,,,,,,,,,,,,,,,,,,,,IND0465,,,,,IND0465,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1313,1313,2025671 2025455,Gene Proof SARS-CoV-2 Screening PCR kit,gene proof screening ,,"Gene Proof, Czech Republic",gene proof czech republic,,,,,,,,,,,,,,,,,,,,,IND0466,,,,,IND0466,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1314,1314,210803,96 SARS-CoV-2 Kit,96 ,,"Genedrive Diagnostics Limited, UK",genedrive diagnostics limited uk,,,,,,,,,,,,,,,,,,,,,IND0467,,,,,IND0467,,,,
