"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,,,,,,,,,,,,,,,,
Source: GF,Source: Path,Type of Test,Manufacturer Product Catalogue number,"Product Name
 (IVD product)",product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Total Criteria Eligibility ,Comments ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,"Reference price per pack EXW, USD","Reference price per test EXW, USD"
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,O11200-25,Talis One COVID-19 Cartridge Pack,talis one  cartridge pack,25T/kit,Talis Biomedical Corporation,talis biomedical corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,68020,ExProbeTM SARS-CoV-2 Testing Kit,exprobetm ing ,,TBG Biotechnology Corp,tbg biotechnology corp,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,"PGA4102P1 (liquid) / PGA4102P2
 (lyophilized form)","SARS-CoV-2 Nucleic acid detection kit based on Real-
 Time PCR platform",  nucleic acid detection  based on real  time platform,,Tellgen Corporation,tellgen corporation,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A47813,TaqPath COVID-19 Combo Kit Advanced,taqpath  combo  advanced,200T/kit,Thermo Fisher Scientific Inc,thermo fisher scientific ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A47814,TaqPath COVID-19 Combo Kit,taqpath  combo ,1000T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A49868,"TaqPath COVID-19, FluA, FluB Combo Kit",taqpath  flua flub combo ,1000T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A47817,Taqpath COVID-19 Rt-PCR Kit,taqpath  ,,Thermo Fisher Scientific Inc,thermo fisher scientific ,Health Canada/Interim Order,,FALSE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"TaqPath New Coronavirus (SARS-CoV-2) Real-Time PCR
 Detection Kit",taqpath new coronavirus real time detection ,,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A48067,"TaqPath COVID-19 CE-IVD RT-
 PCR Kit",taqpath  ce ivd  ,1000T/kit,Thermo Fisher Scientific Inc,thermo fisher scientific ,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A49918,"TaqPath™ COVID-19 Pooling
 Kit",taqpath  pooling ,384T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A51333,TaqPath COVID-19 RNase P Combo Kit 2.0,taqpath  rnase combo  20,1T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A51606,"TaqPath COVID-19 FAST PCR
 Combo Kit 2.0",taqpath  fast combo  20,1T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,A49869,Amplitude™ Solution with TaqPath COVID-19 High Throughput Combo Kit,amplitude solution with taqpath  high throughput combo ,20000/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,"US FDA EUA
 Health Canada/Interim Order",,TRUE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,TD1100,COVID-19 RT-PCR PNA Kit, pna ,100T/kit,"TNS Co., Ltd (Bio TNS)",tns  bio tns,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,$550.00,$5.50
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,TRCReady SARS-CoV-2,trcready  ,,Tosoh Corporation,tosoh corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Gene Cube SARS-CoV-2,gene cube  ,48T/kit,"Toyobo Co., Ltd.",toyobo ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Gene Cube HQ SARS-CoV-2,gene cube hq  ,,"Toyobo Co., Ltd.",toyobo ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,102997,SARS-CoV-2 NGS Assay,  ngs assay,96T/kit,Twist Bioscience Corporation,twist bioscience corporation,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Diagnostic Kit for Novel- Coronavirus (2019-nCoV) RNA (Isothermal Amplification-Real Time Fluorescence Assay,diagnostic  novel  coronavirus 2019 rna isothermal amplification real time fluorescence assay,,Ustar Biotechnologies (Hangzhou) Co Ltd (China),ustar biotechnologies hangzhou  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,EasyNat Diagnostic Kit for Novel-Coronavirus (2019- nCoV) RNA (Isothermal Amplification-Real Time Fluorescence Assay,easynat diagnostic  novel coronavirus 2019  rna isothermal amplification real time fluorescence assay,,Ustar Biotechnologies (Hangzhou) Co Ltd (China),ustar biotechnologies hangzhou  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,300681,"ViroKey™ SARS-CoV-2 RT-
 PCR Test",virokey  ,4x50T/kit,Vela Operations Singapore Pte Ltd,vela operations singapore  ,US FDA EUA TGA,,TRUE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,301068,"ViroKey™ SARS-CoV-2 RT-
 PCR Test v2.0",virokey v20,8x48T/kit,Vela Operations Singapore Pte Ltd,vela operations singapore  ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,PS-001541,Visby Medical COVID-19 Point of Care Test,visby medical  point care ,1T/kit,Visby Medical,visby medical,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"SARS-CoV-2 RT-qPCR
 Reagent Kit",  qpcr reagent ,,Wallac Oy (Finland),wallac oy finland,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,"COVID-19 (SARS-CoV-2)
 Nucleic Acid Test kit", nucleic acid  ,,Wuhan EasyDiagnosis Biomedicine Co Ltd (China),wuhan easydiagnosis biomedicine  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,801301,SARS-CoV-2 Test Kit (Real- time PCR),  real  time pcr,48T/kit,"Xiamen Zeesan Biotech Co., Ltd. (China)",xiamen zeesan biotech  china,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,SC-COVID19-20 ,COVID-19 Nucleic Acid RT- PCR Test Kit, nucleic acid ,20T/kit ,"ZhuHai Sinochips Bioscience Co., Ltd",zhuhai sinochips bioscience ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,SC-COVID19-100,COVID-19 Nucleic Acid RT- PCR Test Kit, nucleic acid ,100T/kit,"ZhuHai Sinochips Bioscience Co., Ltd",zhuhai sinochips bioscience ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,R3011 R3011-1K R3011-10K,"Quick SARS-CoV-2 rRT-PCR
 Kit",quick rrt ,,Zymo Research Corp,zymo research corp,"US FDA EUA
 Health Canada/Interim Order",,TRUE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,195-000,BinaxNOW COVID-19 Ag Card,binaxnow  ag card,40T/kit,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,195-005,"BinaxNOW COVID-19 Ag 2
 Card",binaxnow  ag 2 card,40T/kit,"Abbott Diagnostics Scarborough, Inc.",abbott diagnostics scarborough ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,"41FK10
 41FK20",Panbio COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),panbio  ag rapid  device nasopharyngeal,25T/kit,Abbott Rapid Diagnostics Jena GmbH,abbott rapid diagnostics jena gmbh,"Health Canada/Interim Order TGA
 WHO EUL",,FALSE,TRUE,TRUE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,"41FK11
 41FK21",Panbio COVID-19 Ag Rapid Test Device (NASAL),panbio  ag rapid  device nasal,25T/kit,Abbott Rapid Diagnostics Jena GmbH,abbott rapid diagnostics jena gmbh,"Health Canada/Interim Order TGA
 WHO EUL",,FALSE,TRUE,TRUE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Arsonic COVID-19 Ag,arsonic  ag,,Alfresa Pharma Corporation,alfresa pharma corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,PN-0003KT40,NIDS COVID-19 Antigen Rapid Test Kit,nids  antigen rapid  ,40T/kit,"ANP Technologies, Inc.",anp technologies ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,"ARISTA™ COVID-19 Antigen
 Rapid Test",arista  antigen rapid ,,Arista Biotech Pte Ltd (Singapore),arista biotech   singapore,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,A03-50-422,Artron COVID-19 Antigen Test,artron  antigen ,,Artron Laboratories Inc. (Canada),artron laboratories  canada,Health Canada/Interim Order,,FALSE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,COVID-19 Antigen Rapid Test Device, antigen rapid  device,25T/kit,Assure Tech (Hangzhou) Co Ltd (China),assure tech hangzhou  china,Health Canada/Interim Order TGA,,FALSE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Ecotest COVID-19 Antigen Saliva Test Kit,ecotest  antigen saliva  ,,Assure Tech (Hangzhou) Co Ltd (China),assure tech hangzhou  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Ecotest COVID-19 Antigen Nasal Test Kit,ecotest  antigen nasal  ,,Assure Tech (Hangzhou) Co Ltd (China),assure tech hangzhou  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Sampinute COVID-19 Antigen MIA,sampinute  antigen mia,,"BBB Inc. (distributed by Celltrion USA, Inc.)",bbb  distributed celltrion usa ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,"256091
 256113
 256114",Bd Kit For Rapid Detection Of SARS-CoV-2,bd  rapid detection  ,,"Becton, Dickinson and Company",becton dickinsoncompany,Health Canada/Interim Order,,FALSE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,256082,BD Veritor System for Rapid Detection of SARS-CoV-2,bd veritor system rapid detection  ,30T/kit,"Becton, Dickinson and Company",becton dickinsoncompany,"US FDA EUA
 Health Canada/Interim Order PMDA
 TGA",,TRUE,TRUE,FALSE,TRUE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Wantai SARS-CoV-2 Ag Rapid Test (Colloidal Gold),wantai ag rapid  colloidal gold,,Beijing Wantai Biologicalpharmacy Enterprise Co Ltd (China),beijing wantai biologicalpharmacy enterprise  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method),  antigen rapid  colloidal gold method,,BIOHIT HealthCare (Hefei) Co Ltd (China),biohit healthcare hefei  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,RG1901DG,NowCheck COVID-19 Antigen Test,nowcheck  antigen ,,BioNote Inc,bionote ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,SW40006,BIOSYNEX COVID-19 Ag BSS,biosynex  ag bss,see IFU,Biosynex Swiss SA,biosynex swiss sa,ANSM,,FALSE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,SW40010 SW40010F,BIOSYNEX COVID-19 Ag+,biosynex  ag,see IFU,Biosynex Swiss SA,biosynex swiss sa,ANSM,,FALSE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2070088301,"Rapid Response™ COVID-19
 Antigen Rapid Test Device",rapid response  antigen rapid  device,,BTNX Inc,btnx ,Health Canada,,FALSE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2070089201,"Rapid Response™ COVID-19
 Antigen Rapid Test Device",rapid response  antigen rapid  device,,BTNX Inc,btnx ,Health Canada,,FALSE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,SWB-19,"Rapid Response™ COVID-19
 Antigen Rapid Test Device",rapid response  antigen rapid  device,,BTNX Inc,btnx ,Health Canada,,FALSE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,Rapid Response COV- 19C25,"Rapid Response™ COVID-19
 Antigen Rapid Test Device",rapid response  antigen rapid  device,,BTNX Inc,btnx ,"TGA
 Health Canada",,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Surescreen Diagnostics COVID- 19 Antigen Rapid Test Cassette,surescreen diagnostics 19 antigen rapid  cassette,,BTNX Inc,btnx ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,SARS Coronavirus Antigen Kit Rapiim SARS-CoV-2-N PRT- C2N01A, coronavirus antigen  rapiim n prt  c2n01a,,Canon Medical Systems Corporation,canon medical systems corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Quampas COVID-19 Antigen Test Kit,quampas  antigen  ,,"Cellspect Co.,Ltd.",cellspect co,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,OnSite® COVID-19 Ag Point of care test / Aria® COVID-19 Ag Rapid Test,onsite  ag point care aria  ag rapid ,,CTK Biotech Inc,ctk biotech ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,QuickNavi-COVID19 Ag,quicknavi 19 ag,,"Denka Co., Ltd.",denka ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,311500,LIAISON® SARS-CoV-2 Ag,liaison ag,see IFU,DiaSorin,diasorin,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Ellume COVID-19 Home Test,ellume  home ,,Ellume Ltd,ellume ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,"ATG 900-207
 ATG 900-208
 ATG 900-210",CovClear COVID-19 Antigen Test,covclear  antigen ,,Empowered Diagnostics LLC (United States Of America),empowered diagnostics  united states of america,Health Canada/Interim Order TGA,,FALSE,TRUE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Fuji Dry Chem IMMUNO AG Handy COVID-19 Ag,fuji dry chem immuno ag handy  ag,,Fujifilm Corporation,fujifilm corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Accuraseed SARS-CoV-2Ag,accuraseed  ag,,FUJIFILM Wako Pure Chemical Corporation,fujifilm wako pure chemical corporation,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Lumipulse SARS-CoV-2 Ag,lumipulse ag,,Fujirebio Inc,fujirebio ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Lumipulse Presto SARS-CoV-2 Ag,lumipulse presto ag,,Fujirebio Inc,fujirebio ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,231906,ESPLINE SARS-CoV-2,espline  ,100T/kit,Fujirebio Inc,fujirebio ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,COVAG025-U COVAG025-NU,GenBody COVID-19 Ag,genbody  ag,25T/kit,GenBody Inc (Korea - Republic of),genbody  korea  republic of,US FDA EUA TGA,,TRUE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,2019-nCoV Ag Saliva Rapid Test Card,2019 ag saliva rapid  card,,Guangzhou Decheng Biotechnology Co Ltd (China),guangzhou decheng biotechnology  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,2019-nCoV Antigen Test (Lateral Flow Method),2019 antigen  lateral flow method,,Guangzhou Wondfo Biotech Co Ltd (China),guangzhou wondfo biotech  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,GSD NovaGen SARS CoV-2 Rapid Test,gsd novagen rapid ,,Hangzhou Alltest Biotech Co Ltd,hangzhou alltest biotech ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,ICOV-802,COVID-19 Antigen Rapid Test (Oral Fluid) ICOV-802, antigen rapid  oral fluid 802,,Hangzhou Alltest Biotech Co Ltd,hangzhou alltest biotech ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,ICOV-502,COVID-19 Antigen Rapid Test (swab) ICOV-502, antigen rapid  swab 502,,Hangzhou Alltest Biotech Co Ltd,hangzhou alltest biotech ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,COVID-19 Antigen Rapid Test Cassette, antigen rapid  cassette,,"HANGZHOU BIOTEST BIOTECH NO LTD
 (China)",hangzhou biotest biotech no  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Clungene Covid-19 Antigen Rapid Test,clungene  antigen rapid ,,Hangzhou Clongene Biotech Co Ltd,hangzhou clongene biotech ,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,LYHER Novel Coronavirus (Covid-19) Antigen Test Kit (Colloidal Gold),lyher novel coronavirus  antigen colloidal gold,,Hangzhou Laihe Biotech Co Ltd (China),hangzhou laihe biotech  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Novel Coronavirus (SARS-COV 2) Antigen Rapid test cassette (swab),novel coronavirus antigen rapid  cassette swab,,Hangzhou Realy Tech Co Ltd (China),hangzhou realy tech  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Cellife Covid-19 Antigen Test Cassette,cellife  antigen  cassette,,Hangzhou Testsea Biotechnology Co Ltd (China),hangzhou testsea biotechnology  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Testsea SARS-CoV-2 Antigen Test Kit,testsea antigen  ,,Hangzhou Testsea Biotechnology Co Ltd (China),hangzhou testsea biotechnology  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,CT-P60 D-2 02,"Celltrion DiaTrust™ COVID-19
 Ag Rapid Test",celltrion diatrust  ag rapid ,25T/kit,"Humasis, Co Ltd. (distributed by Celltrion USA, Inc)",humasis  distributed celltrion usa ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,COVAG-RC,SCoV-2 Ag Detect Rapid Test,s ag detect rapid ,50T/kit,"InBios International, Inc.",inbios international ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,InnoScreen COVID-19 Antigen Rapid Test Device,innoscreen  antigen rapid  device,,Innovation Scientific Pty Ltd (Australia),innovation scientific pty  australia,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,PixoTest® COVID-19 AG Test Kit,pixotest  ag  ,,iXensor Co Ltd (Taiwan),ixensor  taiwan,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,SARS-CoV-2 antigen Test Kit (LFIA),  antigen lfia,,Jiangsu Medomics medical technology Co Ltd (China),jiangsu medomics medical technology  china,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,KBM line check nCoV (stick type),kbm line check stick type,,"Kojin Bio Co., Ltd.",kojin bio ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,KBM LineCheck nCoV/Flu,kbm linecheck ncovflu,,"Kojin Bio Co., Ltd.",kojin bio ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Clip COVID Rapid Antigen Test,clip  rapid antigen ,25T/kit,"Luminostics, Inc",luminostics ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,LumiraDx SARS-CoV-2 Ag Test,lumiradx ag ,25T/kit,LumiraDx UK Ltd.,lumiradx uk ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,CP0023,"COVIDx-SARS-CoV-2 Rapid
 Antigen Test Kit",x rapid antigen  ,25T/kit,Lumos Diagnostics Ata Rapid Pathogen Screening Inc Ata Lumos Diagnostics Inc (United States),lumos diagnostics ata rapid pathogen screening  ata lumos diagnostics  united states,Health Canada/Interim Order,,FALSE,TRUE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,STANDARD Q COVID-19 Ag Test,standard  ag ,,MALCOM COMPANY LIMITED,malcom company limited,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Fuji Dry Chem IMMNO AG Cartridge COVID-19 Ag,fuji dry chem immno ag cartridge  ag,,"Mizuhomedy Co., Ltd.",mizuhomedy ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Quick Chaser Auto SARS-CoV- 2,quick chaser auto  2,,"Mizuhomedy Co., Ltd.",mizuhomedy ,PMDA,,FALSE,FALSE,FALSE,TRUE,FALSE,,#N/A,#N/A
x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,,Rapid SARS-CoV-2 Antigen Test Card,rapid antigen  card,,MP Biomedicals Asia Pacific Pte Ltd (Singapore),mp biomedicals asia pacific   singapore,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
