,"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,"vlookup to ""CE-markted tests""","ISNUMBER(SEARCH(""US FDA EUA"", R1))","ISNUMBER(SEARCH(""Health Canada/Interim Order"", R1))","ISNUMBER(SEARCH(""WHO EUL"", R1))","ISNUMBER(SEARCH(""PMDA"", R1))","ISNUMBER(SEARCH(""TGA"", R1))",ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,33,462,146,174,101,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,137,137,,Coronavirus (SARS-CoV-2) Antigen-Nasopharyngeal Specimen,CoronavirusSARSCoV2AntigenNasopharyngealSpecimen,coronavirus antigen nasopharyngeal specimen,,Tody Laboratories Int.,tody laboratories int,Romania,,Romania,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,138,138,,Coronavirus Ag Rapid Test,CoronavirusAgRapidTest,coronavirus ag rapid,,Zhejiang Orient Gene Biotech,zhejiang orient gene biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,ZAF0001,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,139,139,,Coronavirus Antigen Rapid Test,CoronavirusAntigenRapidTest,coronavirus antigen rapid,,Fortress Diagnostics Ltd,fortress diagnostics,United Kingdom,,United Kingdom,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
23,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,140,140,,COV-19 IDx assay,COV19IDxassay,19 idx assay,96T/kit,"Ipsum Diagnostics, LLC",ipsum diagnostics,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,Yes
24,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,141,141,2039,CovAb SARS-CoV-2 Ab Test,CovAbSARSCoV2AbTest,covab ab,see IFU,"Diabetomics, Inc.",diabetomics,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,Yes
24,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,142,142,ATG 900-207  ATG 900-208  ATG 900-210,CovClear COVID-19 Antigen Test,CovClearCOVID19AntigenTest,covclear  antigen,,Empowered Diagnostics LLC (United States Of America),empowered diagnostics  united states of america,USA,,USA,Test in development or commercialized,Health Canada/Interim Order TGA,,,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,Yes
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,143,143,,COVID 19 Ag MICROLISA,COVID19AgMICROLISA,ag microlisa,,"J. Mitra Co. Ltd., Bengaluru (Karnataka), India",j mitra  bengaluru karnataka india,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,144,144,,COVID-19 (SARS-CoV-2) Nucleic Acid Test kit,COVID19SARSCoV2NucleicAcidTestkit,nucleic acid,,Wuhan EasyDiagnosis Biomedicine Co Ltd (China),wuhan easydiagnosis biomedicine  china,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0603,IDN0005,ZAF0066,,Yes
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,145,145,,COVID-19 (SARS-CoV-2) Antigen Rapid Test Kit (Colloidal Gold),COVID19SARSCoV2AntigenRapidTestKitColloidalGold,antigen rapid colloidal gold,,"JOYSBIO (Tianjin) Biotechnology Co., Ltd",joysbio tianjin biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0026,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,146,146,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) - NP,COVID19SARSCoV2AntigenTestKitColloidalGoldNP,antigen colloidal gold np,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,147,147,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) Nasal Swab (Self test),COVID19SARSCoV2AntigenTestKitColloidalGoldNasalSwabSelftest,antigen colloidal gold nasal swab self,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,148,148,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold)--Saliva,COVID19SARSCoV2AntigenTestKitColloidalGoldSaliva,antigen colloidal gold  saliva,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0040,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,149,149,,COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold)--Saliva self test,COVID19SARSCoV2AntigenTestKitColloidalGoldSalivaselftest,antigen colloidal gold  saliva self,,"Anhui Deepblue Medical Technology Co., Ltd",anhui deepblue medical technology,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,150,150,,COVID-19 / Influenza A / Influenza B Detection Kit,COVID19InfluenzaAInfluenzaBDetectionKit,influenza  influenza detection,,"New Gene (Hangzhou) Bioengineering Co., Ltd",new gene hangzhou bioengineering,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,151,151,,COVID-19 & Flu A+B Antigen Combo Rapid Test Cassette (Nasopharyngeal Swab),COVID19&FluA+BAntigenComboRapidTestCassetteNasopharyngealSwab,flu ab antigen combo rapid  cassette nasopharyngeal swab,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0165,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,152,152,,COVID-19 Ag,COVID19Ag,ag,,"Qingdao Hightop Biotech Co., Ltd",qingdao hightop biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0030,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,153,153,,COVID-19 Ag -- Celer Biotecnologia,COVID19AgCelerBiotecnologia,ag  celer biotecnologia,,"Qingdao Hightop Biotech Co., Ltd",qingdao hightop biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,154,154,,COVID-19 Ag Fast,COVID19AgFast,ag fast,,Vida Biotecnologia Ltda - ME,vida biotecnologia  me,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,155,155,,COVID-19 Ag Oral Rapid Test,COVID19AgOralRapidTest,ag oral rapid,,Gold Analyses Diagnostica,gold analyses diagnostica,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,156,156,,COVID-19 Ag Rapid Test,COVID19AgRapidTest,ag rapid,,Gold Analyses Diagnostica,gold analyses diagnostica,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,157,157,,COVID-19 Ag Respi-Strip,,ag respi strip,,Coris BioConcept,coris bioconcept,Belgium,,Belgium,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,IND0033,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,158,158,,COVID-19 Ag Saliva Rapid Test,,ag saliva rapid,,"Guangzhou Wondfo Biotech Co., Ltd",guangzhou wondfo biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,159,159,,COVID-19 Ag SE Rapido,COVID19AgSERapido,ag se rapido,,Vida Biotecnologia Ltda - ME,vida biotecnologia  me,Brazil,,Brazil,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,160,160,,COVID-19 Ag Test,COVID19AgTest,ag,,"Beijing Core Technology Co., Ltd.",beijing core technology,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,161,161,,Covid-19 Ag xPOC,,ag xpoc,,GENSPEED Biotech,genspeed biotech,Austria,,Austria,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,162,162,,COVID-19 and Influenza A+B Antigen Combo Rapid Test (Colloidal Gold),COVID19andInfluenzaA+BAntigenComboRapidTestColloidalGold,and influenza ab antigen combo rapid  colloidal gold,,Shanghai Chemtron Biotech Co. Ltd,shanghai chemtron biotech,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,163,163,,COVID-19 Antigen Card test,,antigen card,,"Oscar Medicare Pvt. Ltd., Delhi, India",oscar medicare pvt  delhi india,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0084,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,164,164,,COVID-19 Antigen Detection Kit,,antigen detection,,DNA Diagnostic,dna diagnostic,Denmark,,Denmark,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,165,165,,COVID-19 Antigen Detection Kit (Colloidal Gold),,antigen detection  colloidal gold,,"Zhuhai Lituo Biotechnology Co., Ltd",zhuhai lituo biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,166,166,,COVID-19 Antigen Detection Kit (Immunofluorescence Assay),,antigen detection  immunofluorescence assay,,"Zhuhai Lituo Biotechnology Co., Ltd",zhuhai lituo biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,167,167,,COVID-19 Antigen Detection Kit for Nasopharyngeal Swab/ Sputum Samples,,antigen detection  nasopharyngeal swab sputum samples,,"New Gene (Hangzhou) Bioengineering Co., Ltd",new gene hangzhou bioengineering,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,ZAF0211,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,168,168,,COVID-19 Antigen Lateral Flow Assay,,antigen lateral flow assay,,"Genbio Pharmaceutical Co., Ltd.",genbio pharmaceutical,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,169,169,,COVID-19 Antigen Lateral Flow Test Device,,antigen lateral flow  device,,"LabCare Diagnostics Ltd., Valsad (Gujarat), India",labcare diagnostics  valsad gujarat india,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,IND0061,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,170,170,,COVID-19 Antigen Rapid Acute Infection Test,,antigen rapid acute infection,,Medical Diagnostech (Pty) Ltd,medical diagnostech pty,South Africa,,South Africa,Test in development or commercialized,, removed from US FDA EUA,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,171,171,,COVID-19 Antigen Rapid test,,antigen rapid,,ForaCare Suisse AG,foracare suisse ag,Switzerland,,Switzerland,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,ZAF0212,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,172,172,,Covid-19 Antigen Rapid Test (Colloidal gold),,antigen rapid  colloidal gold,,Shanghai Chemtron Biotech Co. Ltd,shanghai chemtron biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,173,173,,COVID-19 Antigen Rapid Test (Colloidal Gold) (immunology sample),,antigen rapid  colloidal gold immunology sample,,"Joinstar Biomedical Technology Co., Ltd",joinstar biomedical technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,174,174,,COVID-19 Antigen Rapid Test (Latex),,antigen rapid  latex,,"Joinstar Biomedical Technology Co., Ltd",joinstar biomedical technology,China,,China,Test approved by one or more regulatory bodies,, removed from US FDA EUA,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,175,175,,COVID-19 Antigen Rapid Test (Oral Fluid),,antigen rapid  oral fluid,,ACRO BIOTECH Inc.,acro biotech,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
24,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,176,176,ICOV-802,COVID-19 Antigen Rapid Test (Oral Fluid) ICOV-802,,antigen rapid  oral fluid 802,,Hangzhou Alltest Biotech Co Ltd,hangzhou alltest biotech,,,,,TGA, removed from US FDA EUA,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0168,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,177,177,,COVID-19 Antigen Rapid Test (Oral Fluid) Self Test (ICOV-802H)),,antigen rapid  oral fluid self  802h,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
23,x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,178,178,ICOV-502,COVID-19 Antigen Rapid Test (swab) ICOV-502,,antigen rapid  swab 502,,Hangzhou Alltest Biotech Co Ltd,hangzhou alltest biotech,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0167,,,,Yes
23,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,179,179,,COVID-19 Antigen Rapid Test Cassette,,antigen rapid  cassette,,HANGZHOU BIOTEST BIOTECH NO LTD  (China),hangzhou biotest biotech no  china,China,,China,Test in development or commercialized,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0083,,,Yes
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,180,180,,COVID-19 Antigen Rapid Test Cassette (Nasal Swab),,antigen rapid  cassette nasal swab,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0166,,,,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,181,181,,COVID-19 Antigen Rapid Test Cassette (Nasopharyngeal Swab),COVID19AntigenRapidTestCassetteNasopharyngealSwab,antigen rapid  cassette nasopharyngeal swab,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0077,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,182,182,,COVID-19 Antigen Rapid Test Cassette (Oral fluid),COVID19AntigenRapidTestCassetteOralfluid,antigen rapid  cassette oral fluid,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test approved by one or more SRA,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,183,183,,COVID-19 Antigen Rapid Test Cassette (Saliva),COVID19AntigenRapidTestCassetteSaliva,antigen rapid  cassette saliva,,"Hangzhou Clongene Biotech Co., Ltd",hangzhou clongene biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
26,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,184,184,,COVID-19 Antigen Rapid Test Device,COVID19AntigenRapidTestDevice,antigen rapid  device,25T/kit,Assure Tech (Hangzhou) Co Ltd (China),assure tech hangzhou  china,China,,China,Test approved by one or more SRA,Health Canada/Interim Order TGA,,,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0134,IDN0131,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,185,185,,COVID-19 Antigen Rapid Test Kit,,antigen rapid,,SG Diagnostics,sg diagnostics,Singapore,,Singapore,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,186,186,,COVID-19 Antigen Rapid Test Kit (Colloidal Gold),,antigen rapid colloidal gold,,"Xiamen AmonMed Biotechnology Co., Ltd",xiamen amonmed biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,187,187,,COVID-19 Antigen Test,,antigen,,"Blue Cross Bio-Medical (Beijing) Co., Ltd",blue cross biomedical beijing,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,188,188,,COVID-19 Antigen Test + prefilled buffer,,antigen prefilled buffer,,MoLab GmbH,molab gmbh,Germany,,Germany,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,189,189,,COVID-19 Antigen test Card,,antigen  card,,"Diagnostic Enterprises Parwanoo (Himachal Pradesh), India",diagnostic enterprises parwanoo himachal pradesh india,India,,India,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,IND0037,,,,
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,190,190,,COVID-19 Antigen Test Cassette (FIA) (Nasopharyngeal Swab),,antigen  cassette fia nasopharyngeal swab,,"Hangzhou AllTest Biotech Co., Ltd",hangzhou alltest biotech,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
21,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,191,191,,COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay),,antigen dry fluorescence immunoassay,,"Lansion Biotechnology Co., Ltd",lansion biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,PHL0083,
22,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,192,192,,COVID-19 Antigen Test Kit (swab),,antigen swab,,"Safecare Biotech (Hangzhou) Co., Ltd.",safecare biotech hangzhou,China,,China,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0066,ZAF0214,,
28,x,x,SARS-CoV-2 Nucleic Acid Amplification Technologies,193,193,JC10223-1NW-50T,COVID-19 Coronavirus Real Time PCR Kit,,coronavirus real time 50T,50T/kit,Jiangsu Bioperfectus Technologies Co Ltd (China),jiangsu bioperfectus technologies  china,,China,China,,"US FDA EUA TGA
 WHO EUL",,,TRUE,FALSE,TRUE,FALSE,TRUE,https://www.fda.gov/media/139279/download,https://www.fda.gov/media/139279/download,,250,0,5,,,,,ZAF0147,,Yes
28,x,x,SARS-CoV-2 Nucleic Acid Amplification Technologies,194,194,JC10223-1NW-25T,COVID-19 Coronavirus Real Time PCR Kit,,coronavirus real time 25T,25T/kit,Jiangsu Bioperfectus Technologies Co Ltd (China),jiangsu bioperfectus technologies  china,,China,China,,"US FDA EUA TGA
 WHO EUL",,,TRUE,FALSE,TRUE,FALSE,TRUE,https://www.fda.gov/media/139279/download,https://www.fda.gov/media/139279/download,,250,$0.00,5,,,IND0173,,,,Yes
20,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,195,195,,COVID-19 DART,,dart,,E25Bio,e25bio,USA,,USA,Test in development or commercialized,,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,
25,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,196,"196, 197",Z-PATH-COVID-19- CE | Z-COVID-19 (US ONLY),COVID-19 genesig® Real- Time PCR assay | COVID-19 genesig® Real- Time PCR assay,,genesig real  time assay,96T/kit,Primerdesign Ltd | Primerdesign Ltd,primerdesign,,,,,WHO EUL TGA | US FDA EUA,,,TRUE,FALSE,TRUE,FALSE,TRUE,https://www.fda.gov/media/144574/download | https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download | https://www.fda.gov/media/144574/download,|,,,,,,IND0190,,,,Yes
22,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,198,198,,COVID-19 IgG/IgM Rapid Test,,iggigm rapid,see IFU,Btnx Inc. (Canada),btnx  canada,,,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,Yes
23,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,199,199,,COVID-19 IgG/IgM Rapid Test Cassette,,iggigm rapid  cassette,see IFU,Hangzhou Biotest Biotech Co Ltd (China),hangzhou biotest biotech  china,,,,,"TGA
",,removed from US FDA EUA,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,Yes
