NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,source_data_row,source_file_name
122,INTAS PHARMACEUTICALS LTD.,"Corporate House, Near Sola Bridge, S. G. Highway, Thaltej, Ahmedabad – 380054. Gujarat.",India,+91 79 6157 7000,.,generalqueries@intaspharma.com,www.intaspharma.com,122,INDIA ALL 2021 HS 382200 JANUARY.xlsx
123,MOUNT BIOSCIENCES,"31B, ESWARIPURI COLONY,  SAINIKPURI,",SECUNDERABAD. AP.,.,.,.,.,123,INDIA ALL 2021 HS 382200 JANUARY.xlsx
124,NATIONAL INSTITUTE OF IMMUNOLOGY,"JNU COMPLEX,ARUNA ASAF ALI MARG",NEW DELHI,.,.,.,.,124,INDIA ALL 2021 HS 382200 JANUARY.xlsx
125,NEKTAR THERAPEUTICS(INDIA)PVT LTD.,"1-10-20/2B, POOJA EDIFLICE 4TH FLOOCHICKOTI GARDENS",BEGUMPET.HYDERABAD.AP,.,.,.,.,125,INDIA ALL 2021 HS 382200 JANUARY.xlsx
126,"NOVARTIS HEALTHCARE (PVT) LTD.,",.,"Thane,Maharashtra",.,.,.,www.novartis.in,126,INDIA ALL 2021 HS 382200 JANUARY.xlsx
127,P D HINDUJA NATIONAL HOSPITAL&MEDICAL RESEARCH CEN,"Medical Research Centre, 89F Veer Savarkar Marg*Mahim, 400016","Bombay,Maharashtra",4451515/4449199ext32,4449151,joecurian@hindujahospital.com,.,127,INDIA ALL 2021 HS 382200 JANUARY.xlsx
128,PERKINELMER HEALTH SCIENCES PVT LTD,"OLD NO.92, NEW NO.197,DR. NATESAN ROAD, MYLAPORE,","CHENNAI, TAMIL NADU.",.,.,.,.,128,INDIA ALL 2021 HS 382200 JANUARY.xlsx
129,TOSHVIN ANALYTICAL PVT. LTD.,"103,S.J.House,Sıtaram Mıllscompound,N.M.Joshı Marg,Lower Parel , 400011",Mumbai,.,.,.,.,129,INDIA ALL 2021 HS 382200 JANUARY.xlsx
130,GEO CHEM LABORATORIES PVT LTD,"Geo Chem House, 294 Shahıdbhagatsıngh Road, Fort, , 400001",Mumbai,.,.,.,.,130,INDIA ALL 2021 HS 382200 JANUARY.xlsx
131,GENOCARE INDIA,.,India,.,.,.,.,131,INDIA ALL 2021 HS 382200 JANUARY.xlsx
132,INTERNATIONAL CENTRE FOR GENETIC ENGINEERING & BIO,.,India,.,.,.,.,132,INDIA ALL 2021 HS 382200 JANUARY.xlsx
133,ARANAX MEDICAL PRIVATE LIMITED.,.,IN - India,.,.,.,.,133,INDIA ALL 2021 HS 382200 JANUARY.xlsx
134,BIOCON BIOLOGICS INDIA LIMITED.,.,IN - India,.,.,.,.,134,INDIA ALL 2021 HS 382200 JANUARY.xlsx
135,CENTRE FOR DNA FINGERPRINTING & DIAGNOSTIC DIRECTO,.,IN - India,.,.,.,.,135,INDIA ALL 2021 HS 382200 JANUARY.xlsx
136,ANAND BROTHERS.,"PLOTNO.-5, LOCAL SHOPPING CENTREBEHIND MILAN CINEMA KARAMPURA",NEW DELHI,.,.,.,.,136,INDIA ALL 2021 HS 382200 JANUARY.xlsx
137,ARKRAY HEALTHCARE PVT.LTD.,"3Rd Floor,Nicholas Piramal Towers,, Ganpatrao Kadam Marg,Lower Parel,, 400013","Mumbai,Maharashtra",022-30466666/,.,georgevarghese@nicholaspiramal.co.in,.,137,INDIA ALL 2021 HS 382200 JANUARY.xlsx
138,ARTEC DIAGNOSTIC SYSTEM,"C-13,FIRST FLOOR,BIG SPLASH,SECTOR-17,VASHI,","NAVI MUMBAI, MAHARASHTRA",.,.,.,.,138,INDIA ALL 2021 HS 382200 JANUARY.xlsx
139,ATNT LABORATORIES,"309,D.S.Trade Centre,, Vidyavihar(W), 400086","Mumbai,Maharashtra.",9869236574,.,atnt@vsnl.net,.,139,INDIA ALL 2021 HS 382200 JANUARY.xlsx
140,I R TECHNOLOGY SERVICES PRIVATE LTD,"B-8 Commerce Centre, 78 Tardeo Road, 400034","Mumbai,Maharashtra",4951176/4951085,4950584,irttech-b0m@vsnl.com,.,140,INDIA ALL 2021 HS 382200 JANUARY.xlsx
141,KLINERA CORPORATION INDIA,401 HILL VIEW INDUSTRIAL ESTATE  L.B.S MARG GHATKOPAR WEST  MUMBAI MAHARASHTRA,MUMBAI MAHARASHTRA,.,.,.,.,141,INDIA ALL 2021 HS 382200 JANUARY.xlsx
142,INDIAN INSTITUTE OF SCIENCE EDU.& RESEARCH MOHALI,"Mgsipa Complex,Sector 26,, , ",Chandigarh.,.,.,.,.,142,INDIA ALL 2021 HS 382200 JANUARY.xlsx
143,GENUS BREEDING INDIA PVT. LTD.,"ROW HOUSE NO.4, PRIYANKA PARK, S.NO 87, PLOT NO.207, VILLA NO.1, BANER",PUNE/MAH.,.,.,.,.,143,INDIA ALL 2021 HS 382200 JANUARY.xlsx
144,ASRITHA DIATECH INDIA PVT LTD,"H NO.5-5-35/206, 1ST FLOOR, PRASANTH NAGAR (IE), KUKATPALLY,","HYDERABAD, TELANGANA.",.,.,.,.,144,INDIA ALL 2021 HS 382200 JANUARY.xlsx
145,FEBRIS LIFESCIENCES,"PLOT NO.85, 2NF DLOOR, SHOP NO.1, PRASANTH NAGAR, KUKATPALLY,","HYDERABAD, AP.",.,.,.,.,145,INDIA ALL 2021 HS 382200 JANUARY.xlsx
146,SD BIOSENSOR HEALTHCARE PVT. LTD,"Scr- 34, Sector- 15 Part-Ii,, , 122001",Gurgaon,0124-4540907,.,allen@sdbiosensor.com,.,146,INDIA ALL 2021 HS 382200 JANUARY.xlsx
147,NATIONAL INSTITUTE FOR RESEARCH IN REPRODUCTIVE HE,.,India,.,.,.,.,147,INDIA ALL 2021 HS 382200 JANUARY.xlsx
148,NIPRO MEDICAL (INDIA) PVT.LTD.,"1St Floor, Yesde House,New No.167,  Old No.131,1St Flr,Valluvar Kottam , 600034","Hıgh Rd.Nungambakkam,Chennaı",.,.,.,.,148,INDIA ALL 2021 HS 382200 JANUARY.xlsx
149,"SRS MEDICAL DEVICES,","103, Malwa Santoor Apartment,  Scheme No.54, Vıjay Nagar, Indore , ",(Madhya Pradesh),.,.,.,.,149,INDIA ALL 2021 HS 382200 JANUARY.xlsx
150,BIODX HEALTHCARE,.,IN - India,.,.,.,.,150,INDIA ALL 2021 HS 382200 JANUARY.xlsx
151,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,.,IN - India,.,.,.,.,151,INDIA ALL 2021 HS 382200 JANUARY.xlsx
152,ONNSYNEX VENTURES PRIVATE LIMITED,.,IN - India,.,.,.,.,152,INDIA ALL 2021 HS 382200 JANUARY.xlsx
153,BHARAT SERUMS & VACCINES LTD,"Plot No.A-371/372,Road No.27,, Wagle Industrial Estate,, 400604",Thane,022 22886881/2,022 22306744,sales@bharatserums.com,.,153,INDIA ALL 2021 HS 382200 JANUARY.xlsx
154,BIOGENY DIAGNOSTICS PRIVATE LTD.,"88-89,Pratiksha Society,Opp:, Vidhyakunj School, 396445",Navsari/Gujarat,94271-12837,.,dkjoshi@beaconindia.com,.,154,INDIA ALL 2021 HS 382200 JANUARY.xlsx
155,"CRYSTAL BIO EQUIPMENT,","NO.20, 1ST CROSS, SAMPIGE ROAD,MALLESWARAM,",BANGALORE,.,.,.,.,155,INDIA ALL 2021 HS 382200 JANUARY.xlsx
156,DSS IMAGETECH PVT. LTD.,"A-5, MOHAN CO-OPERATIVE INDL.ESTATEMATHURA ROAD,",NEW DELHI,.,.,.,.,156,INDIA ALL 2021 HS 382200 JANUARY.xlsx
157,"ENDRESS + HAUSER (INDIA) PVT. LTD.,","5Th Floor, Raj Plaza, A & B Wıng,L. B. S. Marg, Vıkhrolı (West), , 400083",Mumbai,.,.,.,.,157,INDIA ALL 2021 HS 382200 JANUARY.xlsx
158,GE BE PVT. LIMITED,"NO 60 EPIP, WHITEFIELD",BANGALORE,.,.,.,.,158,INDIA ALL 2021 HS 382200 JANUARY.xlsx
159,INSTITUTE FOR STEMCELL BIOLOGY  &,"Regeneratıve Medıcıne, ,   Gkvk Post,Bellary Road,   Bangalore   , 560065",Bangalore,.,.,.,.,159,INDIA ALL 2021 HS 382200 JANUARY.xlsx
160,KUEHNE + NAGEL PVT.LTD.,"91, BIJWASAN ROAD,KAPASHERA",NEW DELHI,.,.,.,.,160,INDIA ALL 2021 HS 382200 JANUARY.xlsx
161,LIFECELL INTERNATIONAL PRIVATE LTD.,"26, VANDALUR-KELAMBAKKAM MAIN RD.KEELAKOTTAIYUR","CHENNAI, TAMILNADU",.,.,.,.,161,INDIA ALL 2021 HS 382200 JANUARY.xlsx
162,LUPIN LIMITED,"B/4 Laxmi Towers, Bandra Kurla Complex, Bandra (E), Mumbai 400 051",India,+91 22 6640 2222,+91 22 6640 2130,info@lupin.com,www.lupin.com,162,INDIA ALL 2021 HS 382200 JANUARY.xlsx
163,PAMMVI EXPORTS PVT. LTD.,"C-501/B-504,REMI BIZCOURT,PLOT NO.9SHAH INDL. ESTATE,VEERA DESAI RD,","ANDHERI WEST, MUMBAI",.,.,.,.,163,INDIA ALL 2021 HS 382200 JANUARY.xlsx
164,PPD PHARMACEUTICAL DEVELOPMENT (I) PVT. LTD.,"01-DYNASTY B-WING (KANAKIA SPACES)ANDHERI KURLA RD.ANDHERI (EAST),","MUMBAI,MAHARASHTRA",.,.,.,.,164,INDIA ALL 2021 HS 382200 JANUARY.xlsx
165,SHILPA MEDICARE LTD.,"Plot No.10,Shop No.80,, Rajendra Gunj,, 584102","Raichur,Karnataka",35006/35876,.,vbshilpa@blr.vsnl.net.in,.,165,INDIA ALL 2021 HS 382200 JANUARY.xlsx
166,SOWAR (P) LTD.,"OFFICE UNIT 1-3,1ST FLOOR,CSCPOCKET-9,SECTOR-C,VASANT KUNJ",NEW DELHI,.,.,.,.,166,INDIA ALL 2021 HS 382200 JANUARY.xlsx
167,STERIMED INC.,"6/1048,Peringannur.P.O., Peringode, 679535","Palakkad,Kerala",04662209316,2258278,sales@sterimedgroup.com,.,167,INDIA ALL 2021 HS 382200 JANUARY.xlsx
168,TATA INSTITUTE OF FUNDAMENTAL RESEARCH,"Homi Bhabha Road,, Colaba, 400005",Mumbai,022-22804545/2278231,.,psmurthy@tifr.res.in,.,168,INDIA ALL 2021 HS 382200 JANUARY.xlsx
169,VISHAT DIAGNOSTIC PVT. LTD.,"23 & 24,Gaurav Garden,Opp.Sai, Petrol Pump,Mira-Bhayander Rd,, 401107","Mira Rd (E),Thane,Maharashtra.",28126590 28126591/65,.,viscor@vsnl.net,.,169,INDIA ALL 2021 HS 382200 JANUARY.xlsx
170,VISION DIAGNOSTIC (INDIA) PVT.LTD.,"S-4, KIRAN JYOTI COMPLEX,IIND FLOOR, PLOT NO.82, PRATAP","NEAR SUPEREME ENCLAVE, MAYUR VIHAR",.,.,.,.,170,INDIA ALL 2021 HS 382200 JANUARY.xlsx
171,PRAMUK HEALTHCARE,"33,Janki Kutir,, Juhu,, 400049","Mumbai,Maharashtra",32571836,28459333,pramuk@vsnl.net,.,171,INDIA ALL 2021 HS 382200 JANUARY.xlsx
172,EDWARD KEVENTER LIFE SCIENCE LIMITED,"`SAGAR ESTATE`, 4TH FLOOR 2, CLIVE GHAT STREET. KOLKATA. W B",KOLKATA. W B,.,.,.,.,172,INDIA ALL 2021 HS 382200 JANUARY.xlsx
173,ENEM NOSTRUM REMEDIES PVT. LTD.,"Unit No201-204,Marol,Behind Mittal, Inds.Com.Gayatri Commercial Complex, 400059","Andheri(E)Mumbai,Maharashtra",8367221,08394675,.,.,173,INDIA ALL 2021 HS 382200 JANUARY.xlsx
174,"RICHCORE LIFESCIENCES PVT.LTD,","PLOT NO.204 & 237,BOMMASANDRA-JIGANI LINK ROAD,KIADB INDL.AREA,JIGANI","HOBLI,ANEKAL TALUK,BANGALORE",.,.,.,.,174,INDIA ALL 2021 HS 382200 JANUARY.xlsx
175,INNVOLUTION HEALTHCARE PRIVATE LIMITED,"106, FIRST FLOOR, ROOTS TOWERS LAXMI NAGAR DISTRICT CENTRE,",NEW DELHI,.,.,.,.,175,INDIA ALL 2021 HS 382200 JANUARY.xlsx
176,LAB X,"T.C. 14/1264(1), Kumarapuram,  Opp: Tıara Apartments, , ",Medıcal College Po : Trıvandrum,.,.,.,.,176,INDIA ALL 2021 HS 382200 JANUARY.xlsx
177,SPACE AGE DIAGNOSTICS,"11,1St Floor,Shalimar Complex, Mahalaxmi Five Road,Paldi, 380007",Ahmedabad,9824060953,.,.,.,177,INDIA ALL 2021 HS 382200 JANUARY.xlsx
178,METALAB ENTERPRISE,"21-25, Shankar Shoppıng Centre, Nr. Quıck Metal Bus Stop,Odhav Road, , 382415","Odhav , Ahmedabad",.,.,.,.,178,INDIA ALL 2021 HS 382200 JANUARY.xlsx
179,SHREE SIDDHIVINAYAK ENTERPRISE,"B-2, Vinayak Appartment, Behind Vibhavari Society, Vejalpur Road, Jivrajpark, , NA",India,.,.,.,.,179,INDIA ALL 2021 HS 382200 JANUARY.xlsx
180,VANGUARD DIAGNOSTICS PRIVATE LIMITED,"204-M-5 Gupta Plaza Lsc Block M Vıkas Purı , Na",New Delhi,.,.,.,.,180,INDIA ALL 2021 HS 382200 JANUARY.xlsx
181,KRIYA MEDICAL TECHNOLOGIES PVT LTD,.,India,.,.,.,.,181,INDIA ALL 2021 HS 382200 JANUARY.xlsx
182,PICTOR DIAGNOSTICS INDIA PRIVATE LIMITED,.,India,.,.,.,.,182,INDIA ALL 2021 HS 382200 JANUARY.xlsx
183,BIOAZURE TECHNOLOGIES PVT. LTD.,.,IN - India,.,.,.,.,183,INDIA ALL 2021 HS 382200 JANUARY.xlsx
184,OLIVE TECH SERVICE,.,IN - India,.,.,.,.,184,INDIA ALL 2021 HS 382200 JANUARY.xlsx
185,ADVINUS THERAPEUTICS LTD,"No.21&22,Peenya Industrial Area,, Phase-Ii,, 560058",Bangalore,28394959,.,info@advinus.com,.,185,INDIA ALL 2021 HS 382200 JANUARY.xlsx
186,APOTEX PHARMACHEM INDIA PVT LTD,"320/E, 9A MAIN, 5TH BLOCKJAYANAGAR",BANGALORE,.,.,.,.,186,INDIA ALL 2021 HS 382200 JANUARY.xlsx
187,ASTRAZENECA PHARMA INDIA LIMITED,.,india,+91-80-6774-8458,.,patientsafety.india@astrazeneca.com,www.astrazeneca.in,187,INDIA ALL 2021 HS 382200 JANUARY.xlsx
188,BIO SYSTEMS DIAGNOSTICS P LTD,3/62 A SAMUDRA DWAR SALAIUTHANDI,CHENNAI,.,.,.,.,188,INDIA ALL 2021 HS 382200 JANUARY.xlsx
189,BIOLOGICAL E LTD,"18/1&3 Azamabad, , 500020","Hyderabad,Andhra Pradesh",27617831,.,info@biologicale.com,.,189,INDIA ALL 2021 HS 382200 JANUARY.xlsx
190,BRUKER INDIA SCINTIFIC PVT. LTD.,"3, DAYASAGAR,GOKULDHAM,GOREGAON -EAST,","MUMBAI, MAHARASHTRA",.,.,.,.,190,INDIA ALL 2021 HS 382200 JANUARY.xlsx
191,CIPLA LIMITED,"Cipla House, Peninsula Business Park,  Ganpatrao Kadam Marg,  Lower Parel, Mumbai-400013",Mumbai,+91 22 24826000 / +91 22 24826701,+91 22 24826120,.,www.cipla.com,191,INDIA ALL 2021 HS 382200 JANUARY.xlsx
192,CPC DIAGNOSTICS PRIVATE LTD,"III FLOOR, GOKUL TOWERS,9&10 CP RAMASWAMY ROAD,ALWARPET","CHENNAI ,TAMIL NADU",.,.,.,.,192,INDIA ALL 2021 HS 382200 JANUARY.xlsx
193,ECOKRIN HYGIENE PVT. LTD.,"Plot No.77-4,Lakdi Bunder,, Darukhana,, 400010","Mumbai,Maharashtra",3725875,3743839,ecokrin@pacific.net.in,.,193,INDIA ALL 2021 HS 382200 JANUARY.xlsx
194,ELI LILLY & CO.(INDIA) PVT.LTD.,"Plot No.92,Sector-32, Gurgaon, 122001",Haryana,.,.,.,.,194,INDIA ALL 2021 HS 382200 JANUARY.xlsx
195,HEIDELBERG PROMINENT FLUID CONTROLS INDIA PVT.LTD.,"2/2, MES ROAD (NEXT TO TATA TEA),YESHWANTHPUR",BANGALORE,.,.,.,.,195,INDIA ALL 2021 HS 382200 JANUARY.xlsx
196,IBA MOLECULAR IMAGING (INDIA) PVT. LTD.,"DIAGO-D,GROUND FLOOR,OFF CARTERROAD,SHERLY RAJAN ROAD,BANDRA (W)",MUMBAI MAHARASHTRA,.,.,.,.,196,INDIA ALL 2021 HS 382200 JANUARY.xlsx
197,"IMPERIAL LIFE SCIENCES PVT. LTD.,","463-PACE CITY-IISECTOR-37,",GURGAON,.,.,.,.,197,INDIA ALL 2021 HS 382200 JANUARY.xlsx
198,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH.,"900,Ncl Innovation Park,, Dr.Homi Bhabha Road,, 411008",Pune/Mah,020-25898023/2589802,.,director@isserpune.ac.in,.,198,INDIA ALL 2021 HS 382200 JANUARY.xlsx
199,JUMO INDIA PRIVATE LIMITED,"205, JAIN BHAWAN, 18/12, W.E.AKAROL BAGH",NEW DELHI,.,.,.,.,199,INDIA ALL 2021 HS 382200 JANUARY.xlsx
200,KABS HEALTHCARE PVT.LTD.,"J-99, KIRTI NAGAR, IST FLOOR,",NEW DELHI,.,.,.,.,200,INDIA ALL 2021 HS 382200 JANUARY.xlsx
201,"LAMBDA THERAPEUTIC RESEARCH LTD.,","42,Premier House-I,, Sarkhej Gandhinagar Highway, 380054",Bodakdev Ahmedabad,26840080 26853995,.,ganpat@lambda-cro.com,.,201,INDIA ALL 2021 HS 382200 JANUARY.xlsx
202,"MANIPAL ACADEMY OF HIGHER EDUCATION,","A DEEMED UNIVERSITY,UNIVERSITY BLDG.,MADHAV NAGAR,","MANIPAL, D.K. KARNATAKA",.,.,.,.,202,INDIA ALL 2021 HS 382200 JANUARY.xlsx
203,MICROGENE DIAGNOSTIC SYSTEMS PRIVATE LIMITED,"SU-151, 2ND FLOOR, PITAMPURA",DELHI,.,.,.,.,203,INDIA ALL 2021 HS 382200 JANUARY.xlsx
204,MP BIOMEDICALS INDIA PVT LTD.,"Office No.312,Jolly Bhavan No-2,, Level 3,New Marine Lines,, 400020",Mumbai,022-22631257/58,.,amit.rao@mpbio.com,.,204,INDIA ALL 2021 HS 382200 JANUARY.xlsx
205,NIHON KOHDEN INDIA PRIVATE LIMITED,"SPAZE TOWER, A-308  SPAZEDGE , SECTOR 47  GURGAON, HARYANA",GURGAON,.,.,.,.,205,INDIA ALL 2021 HS 382200 JANUARY.xlsx
206,EDICT PHARMACEUTICALS PVT LTD,"Old No.1/63, New No.1/58 Pudupakkam, Village, Via Vandallur, 603103","Kelambakkam Road,Kelambakkam",044 27474516 2747451,.,.,.,206,INDIA ALL 2021 HS 382200 JANUARY.xlsx
207,"NUCLEUS TECHNOLOGIES,","NO.30 C,III FLOOR,6TH MAIN,J.C.INDL.LAYOUT,KANAKAPURA MAIN ROAD,","YELACHENAHALLI,BANGALORE",.,.,.,.,207,INDIA ALL 2021 HS 382200 JANUARY.xlsx
208,RAJASTHAN ELECTRONICS & INSTRUMENTS LTD.,"2 Kanakpura Indl.A Rea, Sirsiroad, 302012",Jaipur,2470062,.,.,.,208,INDIA ALL 2021 HS 382200 JANUARY.xlsx
209,SANOFI - SYNTHELABO (INDIA) LTD.,"54-A,Sir Mathurdas Vasanji Road,, Andheri (East), 400093","Powai, Mumbai","022030707860,3070786",30707869,alan.fernandes@sanofi.com,.,209,INDIA ALL 2021 HS 382200 JANUARY.xlsx
210,SPECTRAL DIAGNOSTICS PVT LTD,"501 & 502,VIKAS DEEP 189 ,LAXMI NAGAR DISTRICT CENTRE",DELHI,.,.,.,.,210,INDIA ALL 2021 HS 382200 JANUARY.xlsx
211,SPINCOTECH PVT. LTD.,"New No.04, Vaıdyaram Street  T.Nagar , 600017",Chennai,.,.,.,.,211,INDIA ALL 2021 HS 382200 JANUARY.xlsx
212,STRIDES SHASUN LIMITED,"206,   Devavrata,Sector  17,  Vashı, , 400705","Navı  Mumbaı, Maharashtra.",.,.,.,.,212,INDIA ALL 2021 HS 382200 JANUARY.xlsx
213,SWAN ENVIRONMENTAL PVT. LTD.,"Plot No.922&935,Swami Ayyappa Co-, Operative Soceity,Madhapur,, 500081","Hyderabad,A.P.",914040216184,.,info@swanenviron.com,.,213,INDIA ALL 2021 HS 382200 JANUARY.xlsx
214,THE PURI FOUNDATION FOR EDUCATION IN INDIA,"BLOCK NO.II, 1ST FLOOR,UDHYOG BHAWAN, SECTOR-11",GANDHINAGAR GUJARAT,.,.,.,.,214,INDIA ALL 2021 HS 382200 JANUARY.xlsx
215,UNITED STATES PHARMACOPEIA INDIA PRIVATE LIMITED,"106, FIRST FLOOR , ASHOKA BHOOPALCHAMBERS BEGUMPET, S.P. ROAD,",HYDERABAD-A.P.,.,.,.,.,215,INDIA ALL 2021 HS 382200 JANUARY.xlsx
216,ZELLE BIOTECHNOLOGY PVT. LTD.,"133, UDYOG BHAVAN,SONAWALA ROAD, GOREGAON (EAST)","MUMBAI, MAHARASHTRA",.,.,.,.,216,INDIA ALL 2021 HS 382200 JANUARY.xlsx
217,ADVY CHEMICAL PVT.LTD.,"BOMBAY MUTUAL TERRACE,534,SANDHURSTROAD BRIDGE, OPERA HOUSE,","BOMBAY ,",.,.,.,.,217,INDIA ALL 2021 HS 382200 JANUARY.xlsx
218,KRYPTON BIOMEDICALS PVT. LTD.,"E-59, IIIRD FLOOR, PANDAV NAGAR,PATPARGANJ,",DELHI,.,.,.,.,218,INDIA ALL 2021 HS 382200 JANUARY.xlsx
219,SYPHEN TECHNOLOGIES,"211 AGGARWAL ARCADE CU BLOCK, LSCPITAMPURA",DELHI,.,.,.,.,219,INDIA ALL 2021 HS 382200 JANUARY.xlsx
220,"CHARLES RIVER LABORATORIES INDIA PVT.LTD,","NO.907,BARTON CENTRE,84, M.G.ROAD,",BANGALORE,.,.,.,.,220,INDIA ALL 2021 HS 382200 JANUARY.xlsx
221,DEEP MEDITECH PVT. LTD.,"K-52, MODEL TOWN-II,",DELHI,.,.,.,.,221,INDIA ALL 2021 HS 382200 JANUARY.xlsx
222,INSTITUTE OF LIFE SCIENCES,.,India,.,.,.,.,222,INDIA ALL 2021 HS 382200 JANUARY.xlsx
223,K KYEMISTRY (INDIA) PVT. LTD.,"307, 3Rd Floor, Studıo Complexnr. Gota Cross Road Sg Hıghway , 382481",Ahmedabad,.,.,.,.,223,INDIA ALL 2021 HS 382200 JANUARY.xlsx
224,PIONEER HI-BRED PRIVATE LIMITED,"6-3-1099/1100, 3Rd Floor, Babukhans  Mıllennıum Centre, Raj Bhavan Road, , ","Hyderabad, Telangana",.,.,.,.,224,INDIA ALL 2021 HS 382200 JANUARY.xlsx
225,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,.,IN - India,.,.,.,.,225,INDIA ALL 2021 HS 382200 JANUARY.xlsx
226,BIOBENCH SOLUTIONS LLP,.,IN - India,.,.,.,.,226,INDIA ALL 2021 HS 382200 JANUARY.xlsx
227,ASCENSIA DIABETES CARE INDIA PRIVATE LIMITED,.,IN - India,.,.,.,.,227,INDIA ALL 2021 HS 382200 JANUARY.xlsx
228,IASSIST HEALTH PRIVATE LIMITED.,.,IN - India,.,.,.,.,228,INDIA ALL 2021 HS 382200 JANUARY.xlsx
229,INBIOSYS SYSTEMS PRIVATE LIMITED.,.,IN - India,.,.,.,.,229,INDIA ALL 2021 HS 382200 JANUARY.xlsx
230,JMD CHEMICALS,"Pyare Lal Complex, M.G. Road, Sukhr Ali, Pin-122001","IN - Gurgaon, Haryana",919818080833,.,jmd12345@rediffmail.com,.,230,INDIA ALL 2021 HS 382200 JANUARY.xlsx
231,KASHIV BIOSCIENCES PRIVATE LIMITED.,.,IN - India,.,.,"info@kashivbio.com, naitik.shah@kashivbio.com",www.kashivbiosciences.com,231,INDIA ALL 2021 HS 382200 JANUARY.xlsx
232,SNIBE DIAGNOSTIC (INDIA) PRIVATE LIMITED.,.,IN - India,.,.,.,.,232,INDIA ALL 2021 HS 382200 JANUARY.xlsx
233,MAAK NATURAL EXTRACTORS PRIVATE LIMITED,.,IN - India,.,.,.,.,233,INDIA ALL 2021 HS 382200 JANUARY.xlsx
234,TAEVAS LIFE SCIENCES PRIVATE LIMITED,.,IN - India,.,.,.,.,234,INDIA ALL 2021 HS 382200 JANUARY.xlsx
235,"SWITCHING TECHNOLOGIES GUNTHER LTD.,",.,IN - India,.,.,.,.,235,INDIA ALL 2021 HS 382200 JANUARY.xlsx
1,"INVITROGEN BIOSERVICES INDIA P.LTD,","GROUND FLOOR,CITIUS,FIRST TECHNOLOGY PLACE,NO.3,EXPORT PROMOTION INDUS","TRIAL PARK,WHITEFIELD,BANGALORE",.,.,.,.,1,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
2,SIEMENS HEALTHCARE PRIVATE LIMITED,"130, Pandurang Budhkar Marg,,Mumba I, , Pin-400018","Maharashtra,Maharashtra",918422975557,.,"smita.ambre@siemens.com, naik.sachin@siemens.com",www.siemens.com,2,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
3,CHROMACHEMIE LABORATORY PRIVATE LIMITED,"Nagesh Buıldıng, Room No. 1 & 2, 1St Floor, No.163, 1St Maın Road Sheshadrıpuram , ",Bangalore,.,.,.,.,3,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
4,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor,5Th Cross, R.M.V.Extensıon, , 560080",Bangalore,.,.,.,.,4,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
5,ABBOTT HEALTH CARE PRIVATE LIMITED,"Unit Nos.3&4,Corporate Park,, Sion-Trombay Road,Chembur,, 400071",Mumbai.Maharashtra,5978888,5978846,.,.,5,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
6,ROCHE DIAGNOSTICS INDIA PVT.LTD.,"PLOT NO. 114 ROADX NO.15, MIDCANDHERI (EAST)",MUMBAI,.,.,.,.,6,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
7,AGILENT TECHNOLOGIES INDIA PVT LTD,"TRIPATI PLAZA PLOT # 11, SECTOR-XI,2NDFLOOR, DWARKA,",NEW DELHI,.,.,.,.,7,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
8,SIGMA ALDRICH CHEMICALS P LTD,"PLOT.NO.12,BOMMASANDRA-JIGANI LINKROAD,INDL.AREA,ANEKAL TQ,",IN - Bangalore,91 80 6621 9600,91 80 6621 9550,.,www.sigmaaldrich.com,8,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
9,QIAGEN INDIA PRIVATE LIMITED,"Samyak Towers,39 Pusa Road,  Karol Bagh , 110005",New Delhi,.,.,.,.,9,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
10,DHL LOGISTICS PVT. LTD,"8Th Floor,Leela Galleria,Andheri, Kurla Road,Andheri (E),, 400059","Mumbai,Maharashtra",+91 22 67370700,.,rodney.pereira@dhl.com,.,10,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
11,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unıt No. 403, 4Th Floor, Leela  Busıness Park, Andherı Kurla Rd., , ","Andherı-East, Mumbaı, Maharashtra",.,.,.,.,11,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
12,RANDOX LABORATORIES INDIA PRIVATE LIMITED,"3Rd Flr.,Godrej Colıseum,Somaıyahospıtal Road, Off Eastern Express , 400022","Hıghway,Sıon E,Mumbaı, Maharashtra",.,.,.,.,12,INDIA ALL 2021 HS 382200 FEBRUARY.xlsx
