,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Score,Top P Match UIDs,Matching P Tags,Top P Score Reports,Top M Match Score,Top M Match UIDs,Matching M Tags,Top M Score Reports,Top Agg Match (P*M),Top Agg Match UIDs
393,393,12152,02-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,TIB MOLBIOL,,Germany,3399.48,0.0,USD,0.0,,0.0,,35.0,KG,SARSCOV2 COVID19 RDRP QTY 35 PCS EXEMPTION OF SRO 844  1007 AND 1008 SERIAL  10,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,394,Pakistan Trade Atlas All 2021 HS 382200.csv,1,958 | 959 | 951 | 430 | 860 | 1261 | 1273 | 1282 | 789 | 603 | 998 | 1339 | 1018 | 98 | 1375 | 425 | 1394 | 993 | 1411 | 936 | 162 | 1176,and | and | and | and | and | 10 | 10 | rdrp | 10 | and | 10 | rdrp | and | and | and | 10 | 10 | 10 | rdrp | and | and | and,{'and': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'10': '1ea'} | {'10': '1ea'} | {'rdrp': '1ea'} | {'10': '1ea'} | {'and': '1ea'} | {'10': '1ea'} | {'rdrp': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'10': '1ea'} | {'10': '1ea'} | {'10': '1ea'} | {'rdrp': '1ea'} | {'and': '1ea'} | {'and': '1ea'} | {'and': '1ea'},0.0,,,,0.0,
394,394,12154,02-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MUSAJI ADAM & SONS,"1-Humair Centre, Hormusji Street, Gari Khata",Karachi,+92 2132626250,+92 2132626251,,www.science-ware.com,MDBIO,,United States,326.36,0.0,USD,0.0,,0.0,,2.0,KG,MDBio  COVID19 Positive Control 100 Control Tests,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,395,Pakistan Trade Atlas All 2021 HS 382200.csv,1,1251 | 78 | 764 | 519 | 1333 | 930 | 428 | 208,control | 100 | 100 | 100 | 100 | 100 | 100 | 100,{'control': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'100': '1ea'},0.0,,,,0.0,
395,395,12160,02-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MUSAJI ADAM & SONS,"1-Humair Centre, Hormusji Street, Gari Khata",Karachi,+92 2132626250,+92 2132626251,,www.science-ware.com,MDBIO,,United States,4979.48,0.0,USD,0.0,,0.0,,4.0,KG,MDBio  COVID19 Refill 96 Tests  Includes BCC19 Reagent 1 BCC19 Reagent 2  128Up PCR Tube Strips  Saline  Swabs   12PCR Tube 1.5ml,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,396,Pakistan Trade Atlas All 2021 HS 382200.csv,4,1011 | 1010 | 385 | 816 | 822 | 743 | 1399 | 252 | 917 | 950 | 322,reagent | reagent | reagent | reagent | reagent | reagent | reagent | reagent | reagent | reagent | reagent,"{'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'} | {'reagent': 4, '': '1ea'}",0.0,,,,0.0,
396,396,12177,01-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,BIONOTE  INC,,South Korea,11899.99,0.0,USD,0.0,,0.0,,240.0,KG,SARSCoV2  COVID19 KITS For the Detection of Corona Virus PCR Kits,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,397,Pakistan Trade Atlas All 2021 HS 382200.csv,4,1417,"detection,pcr,corona,virus","{'detection': 1, 'pcr,corona,virus': '1ea'}",1.0,462 | 463 | 900,bionote | bionote | bionote, |  | ,0.0,
397,397,12233,01-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,SHENZHEN LIFOTRONIC TECHNOLOGY,,China,133302.08,0.0,USD,0.0,,0.0,,5460.0,KG,DIAGNOSTICS REAGENTS SARS COV2 ANTIGEN GICA 25TESTKIT QTY5460 KITS 136500 TEST,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,398,Pakistan Trade Atlas All 2021 HS 382200.csv,5,700 | 806,"diagnostics,antigen | gica,antigen","{'antigen': 4, 'diagnostics': '1ea'} | {'antigen': 4, 'gica': '1ea'}",0.5714285714285714,435,"shenzhen,technology",,2.0,384 | 819
398,398,12234,01-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MOLECULAR BIOLOGY PRODUCTS.,Karachi,PK - Pakistan,.,.,.,.,APPLIED BIOLOGICAL MATERIALS,,Canada,3.96,0.0,USD,0.0,,0.0,,5.0,KG,GenomeCoV19 Detection Kit PCR         ALL ABOVE ARE LABORATORY PCR CONSUMABLES USE FOR COVID 19 TEST QTY5.00KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,399,Pakistan Trade Atlas All 2021 HS 382200.csv,2,1278 | 933 | 1295 | 1309 | 1310 | 129 | 1368 | 1417 | 457,"detection,19 | detection,pcr | detection,19 | detection,19 | detection,19 | detection,19 | detection,pcr | detection,pcr | detection,pcr","{'detection': 1, '19': '1ea'} | {'detection': 1, 'pcr': '1ea'} | {'detection': 1, '19': '1ea'} | {'detection': 1, '19': '1ea'} | {'detection': 1, '19': '1ea'} | {'detection': 1, '19': '1ea'} | {'detection': 1, 'pcr': '1ea'} | {'detection': 1, 'pcr': '1ea'} | {'detection': 1, 'pcr': '1ea'}",1.0,1151,"biological,applied",,1.0,1151
399,399,12238,01-09-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HI-TECH SCIENTIFIC INTERNATIONAL.,Rawalpindi,PK - Pakistan,.,.,.,.,NANJING VAZYME MEDICAL TECHNOLOGY CO LTD,,China,300.0,0.0,USD,0.0,,0.0,,30.0,KG,2 COVID19 RTPCR KITS  REF CD30202  LOT 7E581F1  MFG 18062021  EXP 17062022 QTY  100 TESTS  WEIGHT 30 KGS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,400,Pakistan Trade Atlas All 2021 HS 382200.csv,1,727 | 70 | 73 | 1257 | 660 | 569 | 78 | 1286 | 764 | 519 | 235 | 1322 | 1323 | 1333 | 310 | 589 | 395 | 1240 | 453 | 930 | 1376 | 531 | 1367 | 428 | 1231 | 680 | 679 | 1422 | 1432 | 208,2 | 2 | 2 | 2 | 2 | 2 | 100 | 2 | 100 | 100 | 30 | 2 | 2 | 100 | ref | 2 | 2 | 2 | 2 | 100 | rtpcr | 2 | rtpcr | 100 | 2 | 2 | 2 | rtpcr | 2 | 100,{'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'100': '1ea'} | {'2': '1ea'} | {'100': '1ea'} | {'100': '1ea'} | {'30': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'100': '1ea'} | {'ref': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'100': '1ea'} | {'rtpcr': '1ea'} | {'2': '1ea'} | {'rtpcr': '1ea'} | {'100': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'rtpcr': '1ea'} | {'2': '1ea'} | {'100': '1ea'},4.0,852,"nanjing,technology,vazyme,medical",,0.0,
400,400,12266,31-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",DIAGNOSTICS SYSTEMS,KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,BIBBY SCIENTIFIC MEA,,Cyprus,12953.47,0.0,USD,0.0,,0.0,,20.0,KG,GENESIG REAL TIME PCR COVID19 KIT 96 REACTION 20 KITS NO.ZPATHCOVID19CE,0.0,,,,,,KPAF,,BABA IMPEX,,0.0,,,,,,,,,,,401,Pakistan Trade Atlas All 2021 HS 382200.csv,3,945 | 96 | 296 | 1330 | 993 | 924 | 196 | 457 | 241 | 651 | 1057,"20,real,time | pcr,real,time | pcr,real,time | 20,real,time | genesig,real,time | genesig,real,time | genesig,real,time | pcr,real,time | pcr,real,time | pcr,real,time | pcr,real,time","{'20,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'20,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'genesig,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'} | {'pcr,real,time': '1ea'}",0.5,550 | 319,scientific | scientific, | ,0.25,712
401,401,12267,31-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ALLIED BUSINESS SYSTEM,RAWALPINDI,PK - Pakistan,.,.,.,.,GETEIN BIOTECH INC,,China,2057.5,0.0,USD,0.0,,0.0,,26.0,KG,ONE STEP TEST SARSCOV 2 ANTIGEN COLOOIDAL GOLD TOTAL 1500 KITS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,402,Pakistan Trade Atlas All 2021 HS 382200.csv,25,1110,"gold,one,antigen,step","{'one_step': 20, 'antigen': 4, 'gold': '1ea'}",2.0,817,"biotech,getein",,42.0,817
402,402,12268,31-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",DIAGNOSTICS SYSTEMS,KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,BIBBY SCIENTIFIC MEA,,Cyprus,1925.9,0.0,USD,0.0,,0.0,,2.0,KG,PRIMER DESIGN PROMAT COVID19 Q16 KITS 02 KITS NOD00068,0.0,,,,,,KPAF,,BABA IMPEX,,0.0,,,,,,,,,,,403,Pakistan Trade Atlas All 2021 HS 382200.csv,1,1011,primer,{'primer': '1ea'},0.5,550 | 319,scientific | scientific, | ,0.0,
403,403,12274,31-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MED LAB SERVICES,"OFFICE#1, 1ST FLOOR, ABC PLAZA, COMMERCIAL CENTER SATELLITE TOWN, RAWALPINDI-PAKISTAN.",PK - Pakistan,.,.,.,.,GENEEPROOF AS,,Czech Republic,19044.53,0.0,USD,0.0,,0.0,,42.0,KG,Diagnostic Reagent SARSCoV2 Coronavirus PCR Test Kits,0.0,,,,,,LPAF,,RAFAQIBS ENTERPRISES,,0.0,,,,,,,,,,,404,Pakistan Trade Atlas All 2021 HS 382200.csv,5,385 | 917 | 950,"reagent,coronavirus | reagent,diagnostic | reagent,diagnostic","{'reagent': 4, 'coronavirus': '1ea'} | {'reagent': 4, 'diagnostic': '1ea'} | {'reagent': 4, 'diagnostic': '1ea'}",0.3333333333333333,567,as,,0.0,
404,404,12282,30-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGEN (PVT) LTD,KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,QIAGEN GMBH,,Germany,31270.75,0.0,USD,0.0,,0.0,,5.0,KG,"ARTUS SARSCOV2 PREPAMP UM KIT 768 QTY5 PCS EXEMPTION OF SRO 844, 1007 AND 1008 SERIAL  10",0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,405,Pakistan Trade Atlas All 2021 HS 382200.csv,2,986,"um,prepamp","{'um,prepamp': '1ea'}",2.0,514 | 515,"qiagen,gmbh | qiagen,gmbh", | ,0.6666666666666666,986
405,405,12285,30-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CARE SCIENTIFIC,LAHORE PAKISTAN,PK - Pakistan,.,.,.,.,SHENZHEN UNI MEDICA TECHNOLOGY CO LTD,,Spain,1531.02,0.0,USD,0.0,,0.0,,25.0,KG,DIAGNOSTIC COVID 19 PCR  AND VIRAL RNA EXTRACTION TEST KITS AS PER INVOICE,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,406,Pakistan Trade Atlas All 2021 HS 382200.csv,4,959,"viral,extraction,and,rna","{'viral': 1, 'and,extraction,rna': '1ea'}",0.8,16 | 958 | 959 | 455 | 820,"technology,co | technology,co | technology,co | technology,co | shenzhen,co", |  |  |  | ,3.2,959
406,406,12287,30-08-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEM,"45 MEZ FLOOR, NOBLE HEIGHTSMAIN UNIVERSITY ROAD KARACHI PAKISTAN",PK - Pakistan,.,.,.,.,ABBOTT GMBH,,United States,301804.76,0.0,USD,0.0,,0.0,,1058.0,KG,9N7890 RT PCR DNA SARS COV2 AMP KIT FOR M ALINITY  130 KIT COMBINED WITH ALL CONSUMBLES 9N26019NO9N260211NO9N2610105NO9N26123NO9N49101NO9N200152NO9N120124NO9N2003,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,407,Pakistan Trade Atlas All 2021 HS 382200.csv,20,39,amp,"{'amp': 20, '': '1ea'}",0.8,484,"abbott,gmbh",,6.666666666666666,39
