NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB
169,VISHAT DIAGNOSTIC PVT. LTD.,"23 & 24,Gaurav Garden,Opp.Sai, Petrol Pump,Mira-Bhayander Rd,, 401107","Mira Rd (E),Thane,Maharashtra.",28126590 28126591/65,.,viscor@vsnl.net,.
170,VISION DIAGNOSTIC (INDIA) PVT.LTD.,"S-4, KIRAN JYOTI COMPLEX,IIND FLOOR, PLOT NO.82, PRATAP","NEAR SUPEREME ENCLAVE, MAYUR VIHAR",.,.,.,.
171,PRAMUK HEALTHCARE,"33,Janki Kutir,, Juhu,, 400049","Mumbai,Maharashtra",32571836,28459333,pramuk@vsnl.net,.
172,EDWARD KEVENTER LIFE SCIENCE LIMITED,"`SAGAR ESTATE`, 4TH FLOOR 2, CLIVE GHAT STREET. KOLKATA. W B",KOLKATA. W B,.,.,.,.
173,ENEM NOSTRUM REMEDIES PVT. LTD.,"Unit No201-204,Marol,Behind Mittal, Inds.Com.Gayatri Commercial Complex, 400059","Andheri(E)Mumbai,Maharashtra",8367221,08394675,.,.
174,"RICHCORE LIFESCIENCES PVT.LTD,","PLOT NO.204 & 237,BOMMASANDRA-JIGANI LINK ROAD,KIADB INDL.AREA,JIGANI","HOBLI,ANEKAL TALUK,BANGALORE",.,.,.,.
175,INNVOLUTION HEALTHCARE PRIVATE LIMITED,"106, FIRST FLOOR, ROOTS TOWERS LAXMI NAGAR DISTRICT CENTRE,",NEW DELHI,.,.,.,.
176,LAB X,"T.C. 14/1264(1), Kumarapuram,  Opp: Tıara Apartments, , ",Medıcal College Po : Trıvandrum,.,.,.,.
177,SPACE AGE DIAGNOSTICS,"11,1St Floor,Shalimar Complex, Mahalaxmi Five Road,Paldi, 380007",Ahmedabad,9824060953,.,.,.
178,METALAB ENTERPRISE,"21-25, Shankar Shoppıng Centre, Nr. Quıck Metal Bus Stop,Odhav Road, , 382415","Odhav , Ahmedabad",.,.,.,.
179,SHREE SIDDHIVINAYAK ENTERPRISE,"B-2, Vinayak Appartment, Behind Vibhavari Society, Vejalpur Road, Jivrajpark, , NA",India,.,.,.,.
180,VANGUARD DIAGNOSTICS PRIVATE LIMITED,"204-M-5 Gupta Plaza Lsc Block M Vıkas Purı , Na",New Delhi,.,.,.,.
181,KRIYA MEDICAL TECHNOLOGIES PVT LTD,.,India,.,.,.,.
182,PICTOR DIAGNOSTICS INDIA PRIVATE LIMITED,.,India,.,.,.,.
183,BIOAZURE TECHNOLOGIES PVT. LTD.,.,IN - India,.,.,.,.
184,OLIVE TECH SERVICE,.,IN - India,.,.,.,.
185,ADVINUS THERAPEUTICS LTD,"No.21&22,Peenya Industrial Area,, Phase-Ii,, 560058",Bangalore,28394959,.,info@advinus.com,.
186,APOTEX PHARMACHEM INDIA PVT LTD,"320/E, 9A MAIN, 5TH BLOCKJAYANAGAR",BANGALORE,.,.,.,.
187,ASTRAZENECA PHARMA INDIA LIMITED,.,india,+91-80-6774-8458,.,patientsafety.india@astrazeneca.com,www.astrazeneca.in
188,BIO SYSTEMS DIAGNOSTICS P LTD,3/62 A SAMUDRA DWAR SALAIUTHANDI,CHENNAI,.,.,.,.
189,BIOLOGICAL E LTD,"18/1&3 Azamabad, , 500020","Hyderabad,Andhra Pradesh",27617831,.,info@biologicale.com,.
190,BRUKER INDIA SCINTIFIC PVT. LTD.,"3, DAYASAGAR,GOKULDHAM,GOREGAON -EAST,","MUMBAI, MAHARASHTRA",.,.,.,.
191,CIPLA LIMITED,"Cipla House, Peninsula Business Park,  Ganpatrao Kadam Marg,  Lower Parel, Mumbai-400013",Mumbai,+91 22 24826000 / +91 22 24826701,+91 22 24826120,.,www.cipla.com
192,CPC DIAGNOSTICS PRIVATE LTD,"III FLOOR, GOKUL TOWERS,9&10 CP RAMASWAMY ROAD,ALWARPET","CHENNAI ,TAMIL NADU",.,.,.,.
193,ECOKRIN HYGIENE PVT. LTD.,"Plot No.77-4,Lakdi Bunder,, Darukhana,, 400010","Mumbai,Maharashtra",3725875,3743839,ecokrin@pacific.net.in,.
194,ELI LILLY & CO.(INDIA) PVT.LTD.,"Plot No.92,Sector-32, Gurgaon, 122001",Haryana,.,.,.,.
195,HEIDELBERG PROMINENT FLUID CONTROLS INDIA PVT.LTD.,"2/2, MES ROAD (NEXT TO TATA TEA),YESHWANTHPUR",BANGALORE,.,.,.,.
196,IBA MOLECULAR IMAGING (INDIA) PVT. LTD.,"DIAGO-D,GROUND FLOOR,OFF CARTERROAD,SHERLY RAJAN ROAD,BANDRA (W)",MUMBAI MAHARASHTRA,.,.,.,.
197,"IMPERIAL LIFE SCIENCES PVT. LTD.,","463-PACE CITY-IISECTOR-37,",GURGAON,.,.,.,.
198,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH.,"900,Ncl Innovation Park,, Dr.Homi Bhabha Road,, 411008",Pune/Mah,020-25898023/2589802,.,director@isserpune.ac.in,.
199,JUMO INDIA PRIVATE LIMITED,"205, JAIN BHAWAN, 18/12, W.E.AKAROL BAGH",NEW DELHI,.,.,.,.
200,KABS HEALTHCARE PVT.LTD.,"J-99, KIRTI NAGAR, IST FLOOR,",NEW DELHI,.,.,.,.
201,"LAMBDA THERAPEUTIC RESEARCH LTD.,","42,Premier House-I,, Sarkhej Gandhinagar Highway, 380054",Bodakdev Ahmedabad,26840080 26853995,.,ganpat@lambda-cro.com,.
202,"MANIPAL ACADEMY OF HIGHER EDUCATION,","A DEEMED UNIVERSITY,UNIVERSITY BLDG.,MADHAV NAGAR,","MANIPAL, D.K. KARNATAKA",.,.,.,.
203,MICROGENE DIAGNOSTIC SYSTEMS PRIVATE LIMITED,"SU-151, 2ND FLOOR, PITAMPURA",DELHI,.,.,.,.
204,MP BIOMEDICALS INDIA PVT LTD.,"Office No.312,Jolly Bhavan No-2,, Level 3,New Marine Lines,, 400020",Mumbai,022-22631257/58,.,amit.rao@mpbio.com,.
205,NIHON KOHDEN INDIA PRIVATE LIMITED,"SPAZE TOWER, A-308  SPAZEDGE , SECTOR 47  GURGAON, HARYANA",GURGAON,.,.,.,.
206,EDICT PHARMACEUTICALS PVT LTD,"Old No.1/63, New No.1/58 Pudupakkam, Village, Via Vandallur, 603103","Kelambakkam Road,Kelambakkam",044 27474516 2747451,.,.,.
207,"NUCLEUS TECHNOLOGIES,","NO.30 C,III FLOOR,6TH MAIN,J.C.INDL.LAYOUT,KANAKAPURA MAIN ROAD,","YELACHENAHALLI,BANGALORE",.,.,.,.
208,RAJASTHAN ELECTRONICS & INSTRUMENTS LTD.,"2 Kanakpura Indl.A Rea, Sirsiroad, 302012",Jaipur,2470062,.,.,.
209,SANOFI - SYNTHELABO (INDIA) LTD.,"54-A,Sir Mathurdas Vasanji Road,, Andheri (East), 400093","Powai, Mumbai","022030707860,3070786",30707869,alan.fernandes@sanofi.com,.
210,SPECTRAL DIAGNOSTICS PVT LTD,"501 & 502,VIKAS DEEP 189 ,LAXMI NAGAR DISTRICT CENTRE",DELHI,.,.,.,.
211,SPINCOTECH PVT. LTD.,"New No.04, Vaıdyaram Street  T.Nagar , 600017",Chennai,.,.,.,.
212,STRIDES SHASUN LIMITED,"206,   Devavrata,Sector  17,  Vashı, , 400705","Navı  Mumbaı, Maharashtra.",.,.,.,.
213,SWAN ENVIRONMENTAL PVT. LTD.,"Plot No.922&935,Swami Ayyappa Co-, Operative Soceity,Madhapur,, 500081","Hyderabad,A.P.",914040216184,.,info@swanenviron.com,.
214,THE PURI FOUNDATION FOR EDUCATION IN INDIA,"BLOCK NO.II, 1ST FLOOR,UDHYOG BHAWAN, SECTOR-11",GANDHINAGAR GUJARAT,.,.,.,.
215,UNITED STATES PHARMACOPEIA INDIA PRIVATE LIMITED,"106, FIRST FLOOR , ASHOKA BHOOPALCHAMBERS BEGUMPET, S.P. ROAD,",HYDERABAD-A.P.,.,.,.,.
216,ZELLE BIOTECHNOLOGY PVT. LTD.,"133, UDYOG BHAVAN,SONAWALA ROAD, GOREGAON (EAST)","MUMBAI, MAHARASHTRA",.,.,.,.
217,ADVY CHEMICAL PVT.LTD.,"BOMBAY MUTUAL TERRACE,534,SANDHURSTROAD BRIDGE, OPERA HOUSE,","BOMBAY ,",.,.,.,.
218,KRYPTON BIOMEDICALS PVT. LTD.,"E-59, IIIRD FLOOR, PANDAV NAGAR,PATPARGANJ,",DELHI,.,.,.,.
219,SYPHEN TECHNOLOGIES,"211 AGGARWAL ARCADE CU BLOCK, LSCPITAMPURA",DELHI,.,.,.,.
220,"CHARLES RIVER LABORATORIES INDIA PVT.LTD,","NO.907,BARTON CENTRE,84, M.G.ROAD,",BANGALORE,.,.,.,.
221,DEEP MEDITECH PVT. LTD.,"K-52, MODEL TOWN-II,",DELHI,.,.,.,.
222,INSTITUTE OF LIFE SCIENCES,.,India,.,.,.,.
223,K KYEMISTRY (INDIA) PVT. LTD.,"307, 3Rd Floor, Studıo Complexnr. Gota Cross Road Sg Hıghway , 382481",Ahmedabad,.,.,.,.
224,PIONEER HI-BRED PRIVATE LIMITED,"6-3-1099/1100, 3Rd Floor, Babukhans  Mıllennıum Centre, Raj Bhavan Road, , ","Hyderabad, Telangana",.,.,.,.
225,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,.,IN - India,.,.,.,.
226,BIOBENCH SOLUTIONS LLP,.,IN - India,.,.,.,.
227,ASCENSIA DIABETES CARE INDIA PRIVATE LIMITED,.,IN - India,.,.,.,.
228,IASSIST HEALTH PRIVATE LIMITED.,.,IN - India,.,.,.,.
229,INBIOSYS SYSTEMS PRIVATE LIMITED.,.,IN - India,.,.,.,.
230,JMD CHEMICALS,"Pyare Lal Complex, M.G. Road, Sukhr Ali, Pin-122001","IN - Gurgaon, Haryana",919818080833,.,jmd12345@rediffmail.com,.
231,KASHIV BIOSCIENCES PRIVATE LIMITED.,.,IN - India,.,.,"info@kashivbio.com, naitik.shah@kashivbio.com",www.kashivbiosciences.com
232,SNIBE DIAGNOSTIC (INDIA) PRIVATE LIMITED.,.,IN - India,.,.,.,.
233,MAAK NATURAL EXTRACTORS PRIVATE LIMITED,.,IN - India,.,.,.,.
234,TAEVAS LIFE SCIENCES PRIVATE LIMITED,.,IN - India,.,.,.,.
235,"SWITCHING TECHNOLOGIES GUNTHER LTD.,",.,IN - India,.,.,.,.
1,"INVITROGEN BIOSERVICES INDIA P.LTD,","GROUND FLOOR,CITIUS,FIRST TECHNOLOGY PLACE,NO.3,EXPORT PROMOTION INDUS","TRIAL PARK,WHITEFIELD,BANGALORE",.,.,.,.
2,SIEMENS HEALTHCARE PRIVATE LIMITED,"130, Pandurang Budhkar Marg,,Mumba I, , Pin-400018","Maharashtra,Maharashtra",918422975557,.,"smita.ambre@siemens.com, naik.sachin@siemens.com",www.siemens.com
3,CHROMACHEMIE LABORATORY PRIVATE LIMITED,"Nagesh Buıldıng, Room No. 1 & 2, 1St Floor, No.163, 1St Maın Road Sheshadrıpuram , ",Bangalore,.,.,.,.
4,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor,5Th Cross, R.M.V.Extensıon, , 560080",Bangalore,.,.,.,.
5,ABBOTT HEALTH CARE PRIVATE LIMITED,"Unit Nos.3&4,Corporate Park,, Sion-Trombay Road,Chembur,, 400071",Mumbai.Maharashtra,5978888,5978846,.,.
6,ROCHE DIAGNOSTICS INDIA PVT.LTD.,"PLOT NO. 114 ROADX NO.15, MIDCANDHERI (EAST)",MUMBAI,.,.,.,.
7,AGILENT TECHNOLOGIES INDIA PVT LTD,"TRIPATI PLAZA PLOT # 11, SECTOR-XI,2NDFLOOR, DWARKA,",NEW DELHI,.,.,.,.
8,SIGMA ALDRICH CHEMICALS P LTD,"PLOT.NO.12,BOMMASANDRA-JIGANI LINKROAD,INDL.AREA,ANEKAL TQ,",IN - Bangalore,91 80 6621 9600,91 80 6621 9550,.,www.sigmaaldrich.com
9,QIAGEN INDIA PRIVATE LIMITED,"Samyak Towers,39 Pusa Road,  Karol Bagh , 110005",New Delhi,.,.,.,.
10,DHL LOGISTICS PVT. LTD,"8Th Floor,Leela Galleria,Andheri, Kurla Road,Andheri (E),, 400059","Mumbai,Maharashtra",+91 22 67370700,.,rodney.pereira@dhl.com,.
11,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unıt No. 403, 4Th Floor, Leela  Busıness Park, Andherı Kurla Rd., , ","Andherı-East, Mumbaı, Maharashtra",.,.,.,.
12,RANDOX LABORATORIES INDIA PRIVATE LIMITED,"3Rd Flr.,Godrej Colıseum,Somaıyahospıtal Road, Off Eastern Express , 400022","Hıghway,Sıon E,Mumbaı, Maharashtra",.,.,.,.
13,SUTRON HYDROMET SYSTEMS PRIVATE LIMITED,"D-193, 2ND FLOOR , OKHLA INDUSTRIALAREA PHASE-1",NEW DELHI,.,.,.,.
14,BIO SYSTEMS DIAGNOSTICS P LTD,3/62 A SAMUDRA DWAR SALAIUTHANDI,CHENNAI,.,.,.,.
15,DIASYS DIAGNOSTICS INDIA PRIVATE LIMITED.,"Unıt No. 3B-33 & 34, 3Rd Floor,  Phoenıx Paragon Plaza,Lbs Marg, , ","Kurla West, Mumbaı, Maharashtra",.,.,.,.
16,BIO RAD LABORATORIES (INDIA) PVT.LTD.,"PLOTNOB&B-1 VANIJYA NIKUNJUDYOG VIHAR,PHASE.V",GURGAON,.,.,.,.
17,THERMO FISHER SCIENTIFIC INDIA PRIVATE LIMITED,"403-404, B Wing,Delphi, Hiranandani Business Park,Powai, 400072",IN - Mumbai,67162200 / 67162244,.,arvind.sonawane@thermofisher.com,www.corporate.thermofisher.com
18,PROMEGA BIOTECH INDIA PRIVATE LIMITED,"VASAIKAR HOUSE, 296, CADELL ROAD, DADAR WEST, ,",MUMBAI,.,.,.,.
19,DSS TAKARA BIO INDIA PVT LTD,A-5 MOHAN CO-OPP INDUSTRIAL ESTATE MATHURA ROAD,NEW DELHI,.,.,.,.
20,S.P.ANALYTICAL.,"Room No.503, Mıchael Plaza,Plot No.106, Chembur West, Mumbaı.Mukund Ngr,Pl Lokhande Marg, , 400089","Mukund Ngr,Pl Lokhande Marg,",.,.,.,.
21,SAVANT INSTRUMENTS P LTD,"Plotno.220 Rdno.1, Doctors Colony  Saroor Nagar , 500029",Hyderabad Ap,.,.,.,.
22,IMMUNOSHOP INDIA PVT. LTD.,"309, Raheja , Sector No.11,Cbd Belapur, , ",Mumbai,.,.,.,.
23,LIFE TECHNOLOGIES (INDIA) PVT.LTD.,"306, AGGARWAL CITY MALL,OPP.M2KPITAMPURA",DELHI,.,.,.,.
24,BIO MERIEUX INDIA PVT.LTD.,"A-32, MOHAN CO-OPERATIVE INDUSTRIALAREA,",NEW DELHI,.,.,.,.
25,NEUGEN DIAGNOSTICS INDIA PVT. LTD,"VIJAY PLAZA SECOND FLOORC-32,SECOND AVENUE,ANNA NAGAR","CHENNAI, TAMILNADU",.,.,.,.
26,INSTRUMENTATION LABORATORY INDIA PVT. LTD.,"2Nd Floor,C-60,C-Blo0Ck Community, Centre,Janakpuri,, 110058",New Delhi,01125510137,.,atulgoyal@il-india.com,.
27,METASYSTEMS INDIA (BANGALORE) PRIVATE LIMITED,"NO.1/1, 2ND FLOOR, 1ST MAIN ROAD, 2ND CROSS, THIMMAIAH GARDEN, R T NAGAR",BANGALORE,.,.,.,.
28,LABEX CORPORATION,"FLAT NO-3022,SECTOR-A,POCKET-B&CVASANT KUNJ",NEW DELHI,.,.,.,.
29,FINAR LIMITED,"184-185-186/P, Vill-Chacharvadi, Vasna,Sarkhej-Bavla Highway,Tal-, 382110",Ahmedabad,"6400027,6403664",6405325,info@finarchemicals.com,.
30,"WATERS (INDIA) PRIVATE LIMITED,","BI,36-A, 2ND PHASE,PEENYA INDUSTRIAL AREA,","BANGALORE ,KARNATAKA",.,.,.,.
31,BIOGENE INDIA,"C-3, 204, 2ND FLOOR,POOJA HOUSE,KARAMPURA COMMERCIAL COMPLEX,","NEW DELHI ,",.,.,.,.
32,BLUE HORIZON,"Gopal Niwas,135,, Princess Street,, 400002","Mumbai, Maharashtra.",22062887,22061435,.,.
33,LABMATE (ASIA) PVT LTD,"Baıd Mehta Complex,C-Block,I Floor,183,Mount Road, , ",Chennai,.,.,.,.
34,MOLECULES ANALYTICAL LAB SOLUTIONS PRIVATE LIMITED.,"H. No. 4-1-1056/1, Boggulakunta,Pin-500001","IN - Hyderabad, Telangana",919959149849,.,sales@molecules.in,www.molecules.in
35,IDEXX LABORATORIES PRIVATE LIMITED,.,IN - India,.,.,.,.
36,TRIVITRON HEALTHCARE PRIVATE LIMITED,"No.15,4Th Street,Abhıramapuram, , 600018",Chennai,.,.,.,.
37,ORANGE BIO SCIENCE PRODUCTS PRIVATE LIMITED,"6, Bıjoy Bose Road,1St Floor  Bhowanıpur , 700025",Kolkata,.,.,.,.
38,DIATEK HEALTHCARE PRIVATE LIMITED,"P- 27,KALINDI HOUSING SCHEME ","KOLKATA, W.B.",.,.,.,.
39,"VWR LAB PRODUCTS PVT.LTD,","2Nd Floor,Front Wıng,135/12,Brıgade  Towers,Brıgade Road , 560025",Bangalore,.,.,.,.
40,"KHC HEALTHCARE INDIA PVT. LTD.,","726, 7TH FLOOR, DLF TOWERS SHIVAJI MARG,",NEW DELHI,.,.,.,.
41,ARSHIYA LOGISTICS SERVICES LTD.,.,IN - India,.,.,.,.
42,PERKIN ELMER (INDIA) PVT. LTD.,"Unit No.3,8Th Floor,B Wing,Trade, Star,Opp.Lotus Suites,J.B.Nagar,, 400059","Andheri,Maharashtra.",9102225334645,91-02225335940,bhaleraosq@labindia.com,.
43,VISHAT DIAGNOSTIC PVT. LTD.,"23 & 24,Gaurav Garden,Opp.Sai, Petrol Pump,Mira-Bhayander Rd,, 401107","Mira Rd (E),Thane,Maharashtra.",28126590 28126591/65,.,viscor@vsnl.net,.
44,NATIONAL INSTITUTE OF BIOMEDICAL GENOMICS,"NATIONAL INSTITUTE OF BIOMEDICAL GENOMICS NETAJI SUBHAS SANATORIUM (T.B.HOSPI TAL), 2 ND FLOOR,P.O.N.S.S.,KALYANI DIST.- NADIA W.B.",DIST.- NADIA W.B.,.,.,.,.
45,ARKRAY HEALTHCARE PVT.LTD.,"3Rd Floor,Nicholas Piramal Towers,, Ganpatrao Kadam Marg,Lower Parel,, 400013","Mumbai,Maharashtra",022-30466666/,.,georgevarghese@nicholaspiramal.co.in,.
46,ZELLE BIOTECHNOLOGY PVT. LTD.,"133, UDYOG BHAVAN,SONAWALA ROAD, GOREGAON (EAST)","MUMBAI, MAHARASHTRA",.,.,.,.
47,BIOGENEX LIFE SCIENCES PVT LTD.,"PLOTNO.7, GUN ROCK ENCLAVE",SECUNDERABAD,.,.,.,.
48,KRISHGEN BIOSYSTEMS,"135/137,Sonawala Bldg.,2Nd Floor,, Zaveri Bazar,, 400002","Mumbai,Maharashtra.",56372990,23415020,.,.
49,"PA-MED SERVICES (P) LTD.,",A-10 ACHARYA NIKETANMAYUR VIHAR PHASE-I,DELHI,.,.,.,.
50,QUINTILES RESEARCH (INDIA) P LTD,"2B,Nıtesh Broadway,9/3,M.G.Road, , 560001",Bangalore,.,.,.,.
51,SPECTRUM MEDICAL INDUSTRIES PVT.LTD.,"B-6/212, SECTOR-7ROHINI",DELHI,.,.,.,.
52,PREMIER MEDICAL CORPORATION LTD.,"B - 2,Parekh Mahal,80 Veer, Nariman Road.,, 400020","Churchgate,Mumbai.",022- 22048200,.,info@premiemedcorp.com,.
53,DIASORIN TRIVITRON HEALTHCARE PRIVATE LIMITED,"NEW NO.23, FIRST MAIN ROAD, CIT COLONY, MYLAPORE,",CHENNAI,.,.,.,.
54,DSS IMAGETECH PVT. LTD.,"A-5, MOHAN CO-OPERATIVE INDL.ESTATEMATHURA ROAD,",NEW DELHI,.,.,.,.
55,ANAND BROTHERS.,"PLOTNO.-5, LOCAL SHOPPING CENTREBEHIND MILAN CINEMA KARAMPURA",NEW DELHI,.,.,.,.
56,"AXYGEN SCIENETIFIC PVT. LTD.,","72,The Mall,, , 173212",Solan (Hp),01792-222291,.,genaxy@vsnl.com,.
57,EVERON LIFE SCIENCES,.,India,.,.,.,.
58,ONNSYNEX VENTURES PRIVATE LIMITED,.,IN - India,.,.,.,.
59,TOSHVIN ANALYTICAL PVT. LTD.,"103,S.J.House,Sıtaram Mıllscompound,N.M.Joshı Marg,Lower Parel , 400011",Mumbai,.,.,.,.
60,WELDON BIOTECH (INDIA) PVT.LTD.,"32-E, IST FLOOR, PATPARGANJ,MAYUR VIHAR, PHASE-I,",DELHI,.,.,.,.
61,"ADINATH VETERINARY PRODUCTS PVT. LTD,","B 10, MIG MAIN ROAD, 101, SIDDHI VINAYAK PLAZA OPP ANDHRA BANK,",INDORE (MP),.,.,.,.
62,SUCOPEIA REFERENCE STANDARDS (OPC) P LTD,"N0.102, 1St Floor 20Th Cross,7Th  Maın Road, Btm Layout,2Nd Stage , ",Bangalore,.,.,.,.
63,AGAPPE DIAGNOSTICS LIMITED,"212/213, VORA PLAZA, B-WING,NAVGHAR, VASAI (EAST)","DIST. THANE, MAHARASHTRA",.,.,.,.
64,AIZANT DRUG RESEARCH SOLUTIONS PVT LTD,"#28 CANTON ROWS, PETBASHEERBADJEEDIMETLA",HYDERABAD,.,.,.,.
65,NOVO HEALTHCARE LIMITED,"A-24, NARAINA VIHAR    NEW DELHI",NEW DELHI,.,.,.,.
66,SYNGENE INTERNATIONAL LIMITED,"20Th Km, Hosur Road,Electronıc Cıty P.O. , 560100",Bangalore,.,.,.,.
67,POCT SERVICES,"280/9,KHA BLUNT SQUAREBEHIND POST OFFICE",LUCKNOW UP,.,.,.,.
68,CPC DIAGNOSTICS PRIVATE LTD,"III FLOOR, GOKUL TOWERS,9&10 CP RAMASWAMY ROAD,ALWARPET","CHENNAI ,TAMIL NADU",.,.,.,.
69,IMMUNOCONCEPT INDIA PRIVATELTD.,"F-242 A, Ground Floor, Lane No. 7,  Pandav Nagar, , ",New Delhi,.,.,.,.
70,AIMIL LIMITED,"NAIMEX HOUSE, A-8 MOHAN CO-OP.INUSTRIAL ESTATE, MATHURA ROAD",NEW DELHI,.,.,.,.
71,DHR HOLDING INDIA PRIVATE LIMITED,"608-609,6Ht Floor 18 Rattan Jyoti, Building Rajendra Place, 110008",New Delhi,011-42430038,.,.,.
72,DIAGNOSTIC BIOSYSTEMS (INDIA ),"306, Guru Ram Dass Bhawan  Ranjıt Nagar, Comm. Complex , 110008",New Delhi,.,.,.,.
73,GENO BIOSCIENCES PVT LIMITED,"2044/6,Chuna Mandı,Paharganj , ",New Delhi,.,.,.,.
74,INVENIOLIFE TECHNOLOGY PVT. LTD,"C-701,Sector-8, Kharghar,  Navı Mumbaı, , 410210",Maharashtra,.,.,.,.
75,SCIENTIFIC PRODUCTS (INDIA) PVT.LTD.,"403 - 404,B Wing,Delphi, Hiranandan Business Park Powai, 400076",Mumbai Maharashtra,022-67162236,.,uday.dixit@thermafisher.com,.
76,SERUM INSTITUTE OF INDIA LIMITED,"212/2 Hadapsar, Off:Soli Poonawalla Road, 411028","Pune,Maharashtra",919823136112,.,exim_pg@vsnl.net,.
77,TATA MEMORIAL CENTRE,"Dr.Ernest Borges Road,Parel, , ",Mumbai,.,.,.,.
78,RAPID DIAGNOSTIC PVT.LTD.,"B-159, Gujranwala Town-I, 110009",Delhi,.,.,.,.
79,MEDGENOME LABS PRIVATE LIMITED,"No.55, 1St Floor, 1St Kamaraj Avenue, Kasthurbaı Nagar, Adyar , ",Chennai,.,.,.,.
80,FUTURIS HEALTHCARE LLP.,"A-2, 35,S.N. Nagar, Yarı Road,  Andherı-West, , ",Mumbai,.,.,.,.
81,PREMAS LIFE SCIENCES PRIVATE LIMITED,.,India,.,.,.,.
82,AAMX BIOMEDICALS,.,IN - India,.,.,.,.
83,EMCURE PHARMACEUTICALS LTD.,"T-184,Midc,Bhosari,, Pune, 411026",Pune-Maharashtra,7123400/7129130,.,emcmkt@pn2.vsnl.net.in,.
84,INTERNATIONAL TRADE LINKS INSTRUMENTATION P.LTD.,"332,3Rd Floor,Gundecha Indl.Compl, Next To Big Bazar,Akurli Road, 400101","Kandivli (E),Mumbai,Maharashtra.",28960103,.,.,.
85,"NUCLEUS TECHNOLOGIES,","NO.30 C,III FLOOR,6TH MAIN,J.C.INDL.LAYOUT,KANAKAPURA MAIN ROAD,","YELACHENAHALLI,BANGALORE",.,.,.,.
86,TATA INSTITUTE OF FUNDAMENTAL RESEARCH,"Homi Bhabha Road,, Colaba, 400005",Mumbai,022-22804545/2278231,.,psmurthy@tifr.res.in,.
87,SYNERGY SCIENTIFIC SERVICES,"B-2, G-1, MAHALAKSHMI APTS, CITY LING ROAD, ADAMBAKKAM",CHENNAI,.,.,.,.
88,BIOLINKK,"1160/8, FIRST FLOOR,NAIWALA, KAROL BAGH,",NEW DELHI,.,.,.,.
89,"PROTON BIOLOGICALS INDIA PVT.LTD,","302, 3RD FLOOR, BOMMASANDRA JIGANI LINK ROAD, JIGANI INDUSTRIAL AREA, JIGANI POST, BANGALORE",BANGALORE,.,.,.,.
90,BIO SCIENCE SALES CORPORATION,"C-6B/17, Janakpuri, 110058",New Delhi,01122452133,.,maheshtyagi5@gmail.com,.
91,"DENEB  INSTRUMENTS,","A5(2), Rajarhat Road,Jora Mandır,  Taltola, , 700059",Kolkata,.,.,.,.
92,IMMUCOR INDIA PRIVATE LIMITED,"A-49(FIEE), OKHLA INDUSRIAL AREA  PHASE-II",NEW DELHI,.,.,.,.
93,INDIAN INSTITUTE OF TECHNOLOGY,"I I T.,G.T.Road, Kalyanpur, 208016","Kanpur,U P",0512-2597384,.,.,.
94,MSP LAB INSTRUMENTS,"PLOT NO 39&40, CHITTAREDDY COMPLEXTADBUND X ROADS",SECUNDERABAD.AP,.,.,.,.
95,"NOVARTIS HEALTHCARE (PVT) LTD.,",.,"Thane,Maharashtra",.,.,.,www.novartis.in
96,TRIDENT EQUIPMENTS PVT.LTD.,"F-409/410,Kailash Indl Complex,, Park Site,Vikhroli-West, 400079","Mumbai,Maharashtra",022 25181706/5463,.,triequip@vsnl.com,.
97,JAY SCIENTIFIC COMAPANY,"Heena Smruti,N.S.Road No.2,, J.V.P.D.Scheme,Vile Parle (W) Mumb, 400056",Maharashtra,2010146,.,.,.
98,POCT SERVICES PRIVATE LIMITED,"280/9, Blunt Square , ",Lucknow U.P.,.,.,.,.
99,PAMAS PARTICLE COUNTERS INDIA PVT LTD,.,IN - India,.,.,.,.
100,INSTITUTE FOR STEMCELL BIOLOGY  &,"Regeneratıve Medıcıne, ,   Gkvk Post,Bellary Road,   Bangalore   , 560065",Bangalore,.,.,.,.
101,SUPER MO BIO,"24/11, LAXMI BAI NAGAR,",NEW DELHI,.,.,.,.
102,ADT INDIA PVT LTD.,F 16 B MIG DDA FLATS HARI NAGAR,DELHI,.,.,.,.
103,PRECIOUSLIFE MEDICAL PRIVATE LIMITED,"31A, SHIB KRISTO DAW LANE,GROUND FLOOR,","KOLKATA,W.B.",.,.,.,.
104,REGENIX DRUGS LTD,"NO. 758-A, MOUNT CHAMBER,GROUND FROOR, ANNA SALAI,",CHENNAI,.,.,.,.
105,GENOCARE INDIA,.,India,.,.,.,.
106,ASCENSIA DIABETES CARE INDIA PRIVATE LIMITED,.,IN - India,.,.,.,.
107,BIOGENUIX MEDSYSTEMS PVT.LTD.,"412-B, 4TH FLOOR, JYOTI SHIKHAR,DISTRICT CENTRE, JANAKPURI,",NEW DELHI,.,.,.,.
108,HEMOGENOMICS PVT LTD,"KEMWELL HOUSENO.11,TUMKUR ROAD, YESHWANTHPUR",BANGALORE / KARNATAKA,.,.,.,.
