paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
7723,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GHRASA LABORATORY SUPPLIES,Lahore Pakistan,PK - Pakistan,.,.,.,.,SHENZHEN NEW INDUSTRIES BIOMEDICAL ENGINEERING C,,Hong Kong,2557.0,0.0,USD,0.0,,0.0,,45.0,KG,DIAGNOSTIC  LABORATORY REAGENTS HEPATITIS  HIV  COVID 19 ECLIA KITS DETAIL AS PER INVOICE,0.0,,,,,,LPAF,,ADIL CARGO(GST0309980509155),,0.0,,,,,,,,,,,7723,Pakistan Trade Atlas All 2021 HS 382200.csv
7741,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,112.6,0.0,USD,0.0,,0.0,,1.0,KG,ALNTY  SARSCOVID2  IGG  CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7741,Pakistan Trade Atlas All 2021 HS 382200.csv
7757,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,3234.56,0.0,USD,0.0,,0.0,,32.0,KG,ARC SARSCOVID2 IGM  200T  OUSECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7757,Pakistan Trade Atlas All 2021 HS 382200.csv
7767,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,41A STREET 16 WESTRIDGE 1 RACECOURSE ROAD RAWALPINDI PAKISTAN,PK - Pakistan,.,.,.,.,G42 MEDICATIONS TRADING LLC,,China,860.0,0.0,USD,0.0,,0.0,,86.0,KG,"01. NOVEL CORONAVIRUS 2019NCOV REPID DETECTION KIT LAMP  96 TESTS ,LOT NO.RCOV960210803,MFG DATE 31082021 EXP DATE 24022022,SINOPHARM BRAND,QTY20 NOS WEIGHT 20 KGS 0",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,7767,Pakistan Trade Atlas All 2021 HS 382200.csv
7770,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.02,0.0,USD,0.0,,0.0,,2.0,KG,ARC  SARSCOVID2  CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7770,Pakistan Trade Atlas All 2021 HS 382200.csv
7776,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,112.6,0.0,USD,0.0,,0.0,,1.0,KG,ARC  SARSCOVID2   CTL  OUSControl,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7776,Pakistan Trade Atlas All 2021 HS 382200.csv
7780,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,19922.12,0.0,USD,0.0,,0.0,,0.43,KG,SARSCoV2 PCR TEST KITSBRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR  PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV0,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,7780,Pakistan Trade Atlas All 2021 HS 382200.csv
7781,21-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,234.73,0.0,USD,0.0,,0.0,,1.0,KG,ARC SARSCOVID2  IGGII  QUANT  CAECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7781,Pakistan Trade Atlas All 2021 HS 382200.csv
7850,20-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,16704.0,0.0,USD,0.0,,0.0,,240.0,KG,COVID19 AG D 25TNS V3I.C.T. Immunochromatographic kit41FK11,0.0,,,,,,KPFI,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7850,Pakistan Trade Atlas All 2021 HS 382200.csv
7872,20-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",NATIONAL DISASTER MANAGEMENT AUTHORITY ISLAMABAD,.,PK - Pakistan,.,.,.,.,KOREA INTERNATIONAL COOPERATION AGENCY,,South Korea,165860.6,0.0,USD,0.0,,0.0,,2000.0,KG,1. COVID19 IgMIgG PLUS TEST  2000 KITS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,7872,Pakistan Trade Atlas All 2021 HS 382200.csv
7938,20-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,27840.0,0.0,USD,0.0,,0.0,,400.0,KG,COVID19 AG D 25TNP V2I.C.T. Immunochromatographic kit41FK10,0.0,,,,,,KPFI,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7938,Pakistan Trade Atlas All 2021 HS 382200.csv
8039,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",RAZA ENTERPRISES.,Office 19-C Karachi Market Khyber Bazar Peshawar Khyber Pakhtunkhwa Pakistan,PK - Pakistan,.,.,.,.,HANGZHOU ALLTEST BIOTECH CO.LTD,,China,5100.0,0.0,USD,0.0,,0.0,,425.0,KG,RAPIDI.C.T TEST KITS  BRAND NEC  ORIGIN CHINA  DETAILS ARE AS UNDER 1COVID19 ANTIGEN RAPID TEST SWAB LOTNOATCOV21090251 20 TEST PER KITS EXP DT092023 QTY150 KITS.. 2DENGU,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,8039,Pakistan Trade Atlas All 2021 HS 382200.csv
8042,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,41A STREET 16 WESTRIDGE 1 RACECOURSE ROAD RAWALPINDI PAKISTAN,PK - Pakistan,.,.,.,.,BIOEXSEN GMBH,,France,2250.0,0.0,USD,0.0,,0.0,,23.0,KG,"01SARS COV2 VARIANT PLUS V2LOT NO.BX210726NPEXDAL,EXP DATE 072022,BIOEXSEN BRAND,ORIGIN GERMANY,QTY01 NOS",0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,8042,Pakistan Trade Atlas All 2021 HS 382200.csv
8043,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",M.H.K ENTERPRISES.,KARACHI,PK - Pakistan,.,.,.,.,ACON BIOTECH  HANGZHOU  CO LTD,,China,7819.2,0.0,USD,0.0,,0.0,,4320.0,KG,SARSCoV2 Antigen Rapid Test 1Tkit Brand  Flowflex Immunochromatographic Test I.C.T Quantity 4 320 Pcs,0.0,,,,,,KPAF,,M/S. E G LOGISTICS,,0.0,,,,,,,,,,,8043,Pakistan Trade Atlas All 2021 HS 382200.csv
8046,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,QIAGEN GMBH,,Germany,189.43,0.0,USD,0.0,,0.0,,5.0,KG,"DIAGNOSTIC REAGENTARTUS SARACOV2 PREPAMP UM KIT 768 QTY 5 PCS FREE OF CHARGE VALUE FOR CUSTOM PURPOSES ONLY EXEMPTION OF SRO 844 ,1007 1008 S.NO 10 FREIGHT ADDED AS PE",0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,8046,Pakistan Trade Atlas All 2021 HS 382200.csv
8052,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",M.H.K ENTERPRISES.,KARACHI,PK - Pakistan,.,.,.,.,ACON BIOTECH  HANGZHOU  CO LTD,,China,1019.25,0.0,USD,0.0,,0.0,,675.0,KG,1... SARSCOV2 ANTIGEN RAPID TEST NASALSALIVA 5TESTKIT BRAND  FLOWFLEX           QUANTITY 675 KITS,0.0,,,,,,KPAF,,M/S. E G LOGISTICS,,0.0,,,,,,,,,,,8052,Pakistan Trade Atlas All 2021 HS 382200.csv
8053,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,XIAMEN ZEESAN BIOTECH CO LTD,,China,19776.99,0.0,USD,0.0,,0.0,,252.0,KG,SARSCOV2 TEST KIT FOR COVID19 TESTING CE.,0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,8053,Pakistan Trade Atlas All 2021 HS 382200.csv
8078,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,41A STREET 16 WESTRIDGE 1 RACECOURSE ROAD RAWALPINDI PAKISTAN,PK - Pakistan,.,.,.,.,G42 MEDICATIONS TRADING LLC,,France,220.0,0.0,USD,0.0,,0.0,,22.0,KG,. 01NOVEL CORONAVIRUS 2019NCOV RAPID DETECTION KIT LOT NO.RCOV9620210802 EXP DATE 024022022 SINOPHARM BRAND ORIGIN FRANCE QTY20 NOS WEIGHT 22 KGS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,8078,Pakistan Trade Atlas All 2021 HS 382200.csv
8101,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOORA PHARMA,"G-143, Defence View, Phase-II, Shaheed-e-Millat Expressway,",Karachi,+92 2135388251,+92 2135388249,info@hoorapharma.com,www.hoorapharma.com,SIEMENS HEALTHCARE DIAGNOSTICS PROD,,Germany,320.0,0.0,USD,0.0,,0.0,,1.0,KG,ITEMS SERIAL NO.169 CENTAUR COV2T 100T,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,8101,Pakistan Trade Atlas All 2021 HS 382200.csv
8131,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SAHAAB INTERNATIONAL,.,PK - Pakistan,.,.,.,.,HANGZHOU DANWEI BIOTECHNOLOGY CO. LTD.,,China,1872.42,0.0,USD,0.0,,0.0,,14.0,KG,SARSCOV2 DETECTION KITSDIRECT FLUORESCENCE PCR,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,8131,Pakistan Trade Atlas All 2021 HS 382200.csv
8133,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,SHENZHEN LIFOTRONIC TECHNOLOGY,,China,332.26,0.0,USD,0.0,,0.0,,2.0,KG,SARSCOV2 IGM ELECTROCHEMILUMINESCENE IMMUNOASSAY QTY2 PCS,0.0,,,,,,KPFI,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,8133,Pakistan Trade Atlas All 2021 HS 382200.csv
8148,18-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,BIORAD EUROPE GMBH,,China,12108.03,0.0,USD,0.0,,0.0,,56.0,KG,Diagnostic Reagent Corona Virus Raid ICT Test Kits,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,8148,Pakistan Trade Atlas All 2021 HS 382200.csv
8235,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,80.8,0.0,USD,0.0,,0.0,,2.0,KG,ARC SARSCOVID2 CAL OUSSTANDARD OR CALIBRATOR,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8235,Pakistan Trade Atlas All 2021 HS 382200.csv
8247,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,15135.6,0.0,USD,0.0,,0.0,,60.0,KG,SRC SARSCOV2 IGG 100T OUSECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8247,Pakistan Trade Atlas All 2021 HS 382200.csv
8274,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,667.1,0.0,USD,0.0,,0.0,,2.0,KG,ALINITY SARS COV2 IGGII QUANT 20ECLIA KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8274,Pakistan Trade Atlas All 2021 HS 382200.csv
8283,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,234.73,0.0,USD,0.0,,0.0,,1.0,KG,ARC SARS COV2 IGGII QUANT CALSTANDARD OR CALIBRATOR,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8283,Pakistan Trade Atlas All 2021 HS 382200.csv
8300,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.1,0.0,USD,0.0,,0.0,,2.0,KG,ALNTY SARSCOV2 IGM CTL OUSCONTROLS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8300,Pakistan Trade Atlas All 2021 HS 382200.csv
8304,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,833.9,0.0,USD,0.0,,0.0,,5.0,KG,ARC SARS COV2 IGGII QUANT 100TECLIA KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8304,Pakistan Trade Atlas All 2021 HS 382200.csv
8338,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,80.8,0.0,USD,0.0,,0.0,,2.0,KG,ALINITY SARSCOV2 IGG CAL OUSSTANDARD OR CALIBRATOR,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8338,Pakistan Trade Atlas All 2021 HS 382200.csv
8360,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,549.76,0.0,USD,0.0,,0.0,,2.0,KG,ARC SARS COV2 IGGI QUANT CONTCONTROL,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8360,Pakistan Trade Atlas All 2021 HS 382200.csv
8415,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,3032.4,0.0,USD,0.0,,0.0,,60.0,KG,ARC SARSCOV22 IGM 100T OUSECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8415,Pakistan Trade Atlas All 2021 HS 382200.csv
8417,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,824.64,0.0,USD,0.0,,0.0,,3.0,KG,ALINITY SARS COV2 IGGII QUANT COCONTROL,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8417,Pakistan Trade Atlas All 2021 HS 382200.csv
8439,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,20181.2,0.0,USD,0.0,,0.0,,40.0,KG,ALNTY SARSCOV2 IGG 200T OUSECLIA KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8439,Pakistan Trade Atlas All 2021 HS 382200.csv
8462,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,222.76,0.0,USD,0.0,,0.0,,4.0,KG,ARC SARSCOVID2 CAL OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8462,Pakistan Trade Atlas All 2021 HS 382200.csv
8476,16-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,111.38,0.0,USD,0.0,,0.0,,2.0,KG,ALINITY SARSCOV2 IGM CAL OUSSTANDARD OR CALIBRATOR,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,8476,Pakistan Trade Atlas All 2021 HS 382200.csv
8489,15-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",VISION PHARMACEUTICALS.,"Plot No. 22-23 , Industrial Triangle Kahuta Road, Islamabad, Pakistan",PK - Pakistan,.,.,.,.,VEEPHRO PHARMACEUTICALS S.R.O,,Czech Republic,2234.8,0.0,USD,0.0,,0.0,,0.5,KG,VALSARTANHYDROCHLOROTHIAZIDE,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,8489,Pakistan Trade Atlas All 2021 HS 382200.csv
8498,15-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",AYYAN MOLECULAR PRODUCTS.,Lahore,PK - Pakistan,.,.,.,.,ZYBIO INC,,China,125268.12,0.0,USD,0.0,,0.0,,600.0,KG,DIAGNOSTIC REAGENT VIRAL RNA EXTRACTION KITS SARS COVID 2 COVID19 PCR KITS AS PER INVOICE,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,8498,Pakistan Trade Atlas All 2021 HS 382200.csv
8510,14-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",MEDITEC INSTRUMENTS CO.,"Suite# 202, Tahir Plaza,Plot A-20, K.C.H.S.U, 75350Karachi- Pakistan",PK - Pakistan,.,.,.,.,TRANSMILE GROUP CO LTD,,China,62500.0,0.0,USD,0.0,,0.0,,50000.0,KG,DETECTION KIT FOR CORONAVIRUS DISEASE 2019 COVD19 PCR FLUORESCENCE PROBE QTY 50000 PCS,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,8510,Pakistan Trade Atlas All 2021 HS 382200.csv
8513,14-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",LIFE SPAN HEALTH CARE,.,PK - Pakistan,.,.,.,.,GENEMATRIX INC,,South Korea,2674.22,0.0,USD,0.0,,0.0,,33.0,KG,DIAGNOSTIC REAGENT PCR KITS FOR COVID19,0.0,,,,,,LPAF,,AZEEM ENTERPRISES,,0.0,,,,,,,,,,,8513,Pakistan Trade Atlas All 2021 HS 382200.csv
8569,14-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IDS IMMUNODIAGNOSTIC SYSTEMS L,,United Kingdom,24620.27,0.0,USD,0.0,,0.0,,88.0,KG,SARSCoV2 PCR TEST KITS1 IDS SARSCoV2 PCR 20 TEST KITS LOT  55566 MFG DATE 01.07.2021 EXP DATE 30.06.2022 QTY150 KITS PACKED IN DRY ICE NET WEIGHT88 KGS,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,8569,Pakistan Trade Atlas All 2021 HS 382200.csv
8570,14-10-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,900.0,0.0,USD,0.0,,0.0,,5.0,KG,SARS COV2 9N7780 RT RGTCTL KIT 5 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,8570,Pakistan Trade Atlas All 2021 HS 382200.csv
