,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Ratio,Top P Match UIDs,Matching P Tags,Top M Match Ratio,Top M Match UIDs,Matching M Tags
159,5643,5644,13-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",LABSERV PAKISTAN,Karachi Pakistan,PK - Pakistan,.,.,.,.,EUROIMMUN MEDIZINISCHE LABORDIAGNOSTIKA AG,,Germany,5530.44,0.0,USD,0.0,,0.0,,41.0,KG,"DIAGNOSTIC LABORATORY REAGENTS RUBELLA VIRUS, SARSCOV2 NCP, SARSCOV2 QUANTIVAC, DENGUE VIRUS DENV  ELISA S NO. 22 QTY 41",0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,5644,Pakistan Trade Atlas All 2021 HS 382200.csv,0.6666666666666666,653,"virus,diagnostic",0.0,,
160,5671,5672,12-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BIOMADICS,Karachi Pakistan,PK - Pakistan,.,.,.,.,DIESSE DIAGNOSTICA SENESE S.P.A,,Italy,9109.36,0.0,USD,0.0,,0.0,,50.0,KG,CHROUS SARSCoV2 PCR Test Kits1 CHROUS SARSCoV2 IgM PCR Test KITES LOT NUMBER 81401 MFG DATE 102021   EXP DATE 102022 QTY50 KITS NET PACKED IN DRY ICE,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,5672,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1076,igm,0.0,,
161,5681,5682,12-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",FUTURE SCIENTIFIC,Fs House Opposite Street No 4 Main Road Shaheen Town Gangaal West Po Fazaia Colony Rawal,PK - Pakistan,.,.,.,.,IMMUNDIAGNOSTIK AG,,Germany,31510.43,0.0,USD,0.0,,0.0,,0.72,KG,SARSCoV2 PCR TEST KITSBRAND IMMUNDIAGNOSTIK AG ORIGIN GERMANY1 MUTEPLEX CORONAVIRUS 384 DETERMINATIONS RT PCR  PRODUCT CATALOGUE KG1926384 LOT  KG1926384MPLEXCV0,0.0,,,,,,IPAI,,,,0.0,,,,,,,,,,,5682,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,160 | 1336 | 152,ag | rt | ag,0.5,550 | 319,scientific | scientific
162,5926,5927,09-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TECHNOLOGY LINKS (PVT) LTD.,"4/11-12, Rimpa Plaza, M.A. Jinnah Road,",Karachi,+92 2137734260,+92 2137730728,techno@paknet3.ptc.pk,www.technologylinks.com,FEDERAL EXPRESS JAPAN G.K,,Japan,1400.0,0.0,USD,0.0,,0.0,,1.0,KG,IVD NCOV KIT ASEAN,0.0,,,,,,KPAF,,"M/S. SAEED ENTERPRISES,(OLD NAME TARIQ & CO)",,0.0,,,,,,,,,,,5927,Pakistan Trade Atlas All 2021 HS 382200.csv,0.3333333333333333,1275 | 928 | 1033 | 499 | 1116 | 704,ncov | ivd | ivd | ncov | kit | ivd,0.5,933 | 897 | 384 | 819,technology | technology | technology | technology
163,5933,5934,09-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TECHSOURCE ENTERPRISES.,B-36 Kuechs Madras Chowk Gulzar-E-Hijri Karachi Pakistan Karachi,PK - Pakistan,.,.,.,.,--,,United States,60.0,0.0,USD,0.0,,0.0,,1.0,KG,"4 Recombinant SarsCov2 S1 Subunit Protein Full Length , QTY 01 KITS..",0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,5934,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,269,4,0.0,,
164,5940,5941,09-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TECHSOURCE ENTERPRISES.,B-36 Kuechs Madras Chowk Gulzar-E-Hijri Karachi Pakistan Karachi,PK - Pakistan,.,.,.,.,--,,United States,20.0,0.0,USD,0.0,,0.0,,1.0,KG,"3 COVID19 SpikeACE2 Binding Assay Kit Controls , QTY 01 KITS",0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,5941,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1253 | 84 | 1280 | 516 | 318 | 41 | 268 | 291 | 508 | 46 | 1017 | 51 | 582 | 921 | 682 | 1001 | 996 | 1015 | 637,assay | assay | assay | assay | assay | assay | 3 | 3 | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay,0.0,,
165,5949,5950,09-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TECHSOURCE ENTERPRISES.,B-36 Kuechs Madras Chowk Gulzar-E-Hijri Karachi Pakistan Karachi,PK - Pakistan,.,.,.,.,--,,United States,95.0,0.0,USD,0.0,,0.0,,1.0,KG,"2 COVID19 SpikeACE2 Binding Assay Kit, QTY 01 KITS.",0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,5950,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1253 | 84 | 1280 | 516 | 318 | 41 | 508 | 46 | 1017 | 51 | 582 | 921 | 682 | 1001 | 996 | 1015 | 637,assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay | assay,0.0,,
166,5988,5989,09-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TECHSOURCE ENTERPRISES.,B-36 Kuechs Madras Chowk Gulzar-E-Hijri Karachi Pakistan Karachi,PK - Pakistan,.,.,.,.,--,,United States,120.0,0.0,USD,0.0,,0.0,,1.0,KG,"5 Human SARSCoV2 RBD Elisa Kit , QTY 01 KITS... 6 Zral , QTY 01 KITS",0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,5989,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1200 | 609 | 270 | 271 | 1202 | 1195 | 1212,"elisa | elisa | 5 | 6 | elisa | human,elisa | elisa",0.0,,
167,6016,6017,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.02,0.0,USD,0.0,,0.0,,2.0,KG,ARC  SARSCOVID2  CONTROL  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6017,Pakistan Trade Atlas All 2021 HS 382200.csv,0.25,1251,control,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
168,6026,6027,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,1010.8,0.0,USD,0.0,,0.0,,20.0,KG,ARC  SARSCOV2   IGM   100T  OUSECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6027,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1076,igm,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
169,6029,6030,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,234.73,0.0,USD,0.0,,0.0,,1.0,KG,ARC  SARSCOV2  IGGII QUANT  CALIBRATOR,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6030,Pakistan Trade Atlas All 2021 HS 382200.csv,0.25,767 | 770,quant | quant,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
170,6039,6040,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,126.02,0.0,USD,0.0,,0.0,,2.0,KG,ARC  SARSCOVID2    CTL  OUSControl,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6040,Pakistan Trade Atlas All 2021 HS 382200.csv,0.0,,,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
171,6069,6070,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,7567.8,0.0,USD,0.0,,0.0,,30.0,KG,ARC  SARSCOV2   IGG   100T  OUSECLIA  KIT,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6070,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,1075,igg,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
172,6167,6168,08-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS GMBH,,Ireland,55.69,0.0,USD,0.0,,0.0,,1.0,KG,ARC  SARSCOV2  CALIBRATOR  OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,6168,Pakistan Trade Atlas All 2021 HS 382200.csv,0.0,,,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
173,6264,6265,07-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,178.7,0.0,USD,0.0,,0.0,,5.0,KG,ANTISARSCOV2 PC ELECSYS QTY 5 PCS BATCH NO. 58151701 MFG DT. 1.9.21 EXP DT. 31.12.21,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,6265,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,270 | 256 | 777,5 | elecsys | elecsys,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
174,6277,6278,07-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",SCIENTIFIC SUPPLIES (PVT) LTD.,"57-A, Block-2, PECHS,",Karachi,+92 2134555617,+92 2134557446,sskhi@cyber.net.pk,www.scientific supplies.com,SHANGHAI ZHJIANG BIOTECHNOLOGY CO LTD,,China,4446.2,0.0,USD,0.0,,0.0,,2000.0,KG,NOVEL CORONAVIRUS 2019NCOV REAL TIME MULTIPLEX RTPCR KIT CAT  RR047902 25 TESTS KIT TOTAL TESTS  2000 TOTAL KITS  80,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,6278,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"211 | 1095 | 193,194 | 923","time,real | time,real | coronavirus,time,real | time,real",0.5,550 | 319,scientific | scientific
175,6308,6309,07-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,35.74,0.0,USD,0.0,,0.0,,1.0,KG,ANTISARSCOV2 PC ELECSYS QTY 1 PC BATCH NO. 58151701 MFG DT. 1.9.21 EXP DT. 31.12.21,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,6309,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,256 | 777,elecsys | elecsys,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
176,6331,6332,07-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,1929.87,0.0,USD,0.0,,0.0,,9.0,KG,ANTISARSCOV2 ELECSYS COBAS E 200 QTY 9 PCS BATCH NO. 58673301 MFG DT. 27.9.21 EXP DT. 31.12.21,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,6332,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"132,133 | 131",cobas | cobas,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
177,6403,6404,07-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,Germany,4288.6,0.0,USD,0.0,,0.0,,20.0,KG,ANTISARSCOV2 ELECSYS COBAS E 200 QTY 20 PCS BATCH NO. 58673301 MFG DT. 27.9.21 EXP DT. 31.12.21,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,6404,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"132,133 | 131",cobas | cobas,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
178,6448,6449,05-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",AYYAN MOLECULAR PRODUCTS.,Lahore,PK - Pakistan,.,.,.,.,ZYBIO INC,,China,103702.0,0.0,USD,0.0,,0.0,,800.0,KG,DIAGNOSTIC REAGENT VIRAL RNA EXTRACTION KITS SARS COVID 2 PCR KITS AS PER INVOICE,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,6449,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,"217 | 308,309 | 1338 | 952 | 953 | 1035 | 1399 | 1442","viral | rna | diagnostic | pcr | extraction,rna | pcr | reagent | pcr",0.5,"17,18 | 32,33 | 947 | 916 | 975 | 672 | 434",molecular | molecular | molecular | molecular | molecular | molecular | molecular
179,6485,6486,05-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHEMICAL HOUSE.,Lahore,PK - Pakistan,.,.,.,.,SHENZHEN UNI MEDICA TECHNOLOGY CO LTD,,China,45288.82,0.0,USD,0.0,,0.0,,913.0,KG,Diagnostic Reagent Viral RNA Nucleic Acid Extraction Kit for Covid19,0.0,,,,,,LPAF,,,,0.0,,,,,,,,,,,6486,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"144 | 207,208","acid,nucleic | acid,nucleic",0.5,385,chemical
180,6539,6540,05-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,SHENZHEN LIFOTRONIC TECHNNOLOGY CO LTD,,Hong Kong,26.69,0.0,USD,0.0,,0.0,,1.95,KG,DIAGNOSTIC REAGENTS    SARSCOV2 ANTIGEN GICA     QTY 6,0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,6540,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,44 | 187 | 806,"antigen | antigen | antigen,gica",0.0,,
181,6682,6683,03-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ZAMAN ENTERPRISES & DIAGNOSTICS,.,PK - Pakistan,.,.,.,.,BEIJING HOTGEN BIOTECH CO.LTD,,China,640.0,0.0,USD,0.0,,0.0,,640.0,KG,CORONAVIRUS 2019NCOV ANTIGENTEST 20T KIT. LOT W2021080500. EXP 11082022. QTY 640 BOXES........ BRAND HOTGEN. ORIGIN CHINA,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,6683,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1158,coronavirus,0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
182,6693,6694,02-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TAJ DIAGNOSTICS,SHOP NO. G-166 MARYAM MARKET M.A. JINNAH ROAD GARDEN SADDAR TOWN KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,XIAMEN AMONMED BIOTECHNOLOGY CO LTD,,China,168.92,0.0,USD,0.0,,0.0,,3.0,KG,DIAGNOSTIC REAGENT COVID19 Antigen Rapid Test Kit Colloidal Gold  I.C.T IMMUNOCHROMATOGRAPHIC,0.0,,,,,,KAPE,,KISSA ENTERPRERISES,,0.0,,,,,,,,,,,6694,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"44 | 187 | 171 | 620 | 625 | 611 | 800 | 209 | 550 | 1173 | 145 | 618 | 1098 | 648 | 1245 | 613 | 1243 | 643 | 644,645,646 | 1074 | 185 | 172 | 186","antigen | antigen | antigen,rapid | gold,colloidal,antigen,rapid | gold,colloidal,antigen | gold,colloidal,antigen | gold,colloidal,antigen,rapid | antigen,rapid | antigen,rapid | rapid | gold,colloidal,antigen,rapid | antigen,rapid | antigen,diagnostic,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | gold,colloidal,antigen,rapid | gold,colloidal,antigen,rapid",0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
183,6694,6695,02-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TAJ DIAGNOSTICS,SHOP NO. G-166 MARYAM MARKET M.A. JINNAH ROAD GARDEN SADDAR TOWN KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,XIAMEN AMONMED BIOTECHNOLOGY CO LTD,,China,27.03,0.0,USD,0.0,,0.0,,16.5,KG,DIAGNOSTIC REAGENT COVID19 IgMIgG test kit Colloidal Gold   I.C.T IMMUNOCHROMATOGRAPHIC,0.0,,,,,,KAPE,,KISSA ENTERPRERISES,,0.0,,,,,,,,,,,6695,Pakistan Trade Atlas All 2021 HS 382200.csv,0.6666666666666666,625 | 611,"gold,colloidal | gold,colloidal",0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
184,6699,6700,02-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TAJ DIAGNOSTICS,SHOP NO. G-166 MARYAM MARKET M.A. JINNAH ROAD GARDEN SADDAR TOWN KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,XIAMEN AMONMED BIOTECHNOLOGY CO LTD,,China,228.03,0.0,USD,0.0,,0.0,,11.0,KG,DIAGNOSTIC KITS COVID19 Antigen Rapid Test Kit Colloidal Gold IMMUNOCHROMATOGRAPHIC,0.0,,,,,,KAPE,,KISSA ENTERPRERISES,,0.0,,,,,,,,,,,6700,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"44 | 187 | 171 | 620 | 625 | 611 | 800 | 209 | 550 | 1173 | 145 | 618 | 1098 | 648 | 1245 | 613 | 1243 | 643 | 644,645,646 | 1074 | 185 | 172 | 186","antigen | antigen | antigen,rapid | gold,colloidal,antigen,rapid | gold,colloidal,antigen | gold,colloidal,antigen | gold,colloidal,antigen,rapid | antigen,rapid | antigen,rapid | rapid | gold,colloidal,antigen,rapid | antigen,rapid | antigen,diagnostic,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | gold,colloidal,antigen,rapid | gold,colloidal,antigen,rapid",0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
185,6720,6721,02-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",TAJ DIAGNOSTICS,SHOP NO. G-166 MARYAM MARKET M.A. JINNAH ROAD GARDEN SADDAR TOWN KARACHI PAKISTAN,PK - Pakistan,.,.,.,.,XIAMEN AMONMED BIOTECHNOLOGY CO LTD,,China,22.52,0.0,USD,0.0,,0.0,,5.0,KG,DIAGNOSTIC REAGENT COVID19 IgMIgG test kit Colloidal GoldBLOODSERUMPLASMA TEST I.C.T IMMUNOCHROMATOGRAPHIC,0.0,,,,,,KAPE,,KISSA ENTERPRERISES,,0.0,,,,,,,,,,,6721,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,1338 | 1399 | 1185,diagnostic | reagent | igmigg,0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
186,6785,6786,01-11-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,SHENZHEN LIFOTRONIC TECHNOLOGY,,China,50261.65,0.0,USD,0.0,,0.0,,706.06,KG,"DIAGNOSTIC REAGENTS              SARSCOV2 ANTIGEN GICA 25TKIT                 PART SHIPMENT IGM  5010 DATED 31102021, INDEX  11, PKGS 154",0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,6786,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,44 | 187 | 1076 | 806,"antigen | antigen | igm | antigen,gica",0.0,,
